Name,Category,Rating,Reviews,Location_Area,Has_Website
myTVS Car Garage | Hadapsar,Auto Repair Shop,4.8,288,Pune,1
ALFA MULTI CAR SERVICE AND CNG SERVICE IN Kondhwa pune,Car Repair And Maintenance Service,5.0,79,Pune,0
"Shivray Motors, BHAIROBA NALA PUNE",Car Repair And Maintenance Service,4.8,23,Pune,0
SINGH GARAGE- Car Garage Service Center in Pune,Car Repair And Maintenance Service,4.9,733,Pune,1
SHABARI MOTORS-CAR REPAIR AND SERVICE CAR MECHANIC,Auto Repair Shop,4.7,127,Pune,1
Car Care Centre: Repair & Servicing - Marketyard,Car Repair And Maintenance Service,4.4,83,Pune,1
"Sk’z Motors Works – Advanced Vehicle Diagnostics & Repair, Pune",Car Repair And Maintenance Service,5.0,3,Pune,0
Siddhi Motors Car Servicing Center Bibwewadi,Car Repair And Maintenance Service,4.7,54,Pune,1
Mukesh Garage,Car Repair And Maintenance Service,4.9,130,Pune,0
GoMechanic - Car Service & Repair Station Pune,Auto Repair Shop,3.0,3,Pune,1
GoMechanic - Inamdar Motors,Auto Repair Shop,4.5,334,Pune,1
My Mechanic - Poona Vehicle Service,Auto Repair Shop,5.0,5,Pune,1
GoMechanic - Smart Car Workshop,Auto Repair Shop,3.7,3,Pune,1
AK AUTO SERVICES Bike and Car Repairing and Service,Car Repair And Maintenance Service,5.0,9,Pune,0
Desai Auto Garage,Car Repair And Maintenance Service,4.5,33,Pune,0
GoMechanic - Autozone Motors,Auto Repair Shop,4.0,93,Pune,1
GoMechanic - Car Breakdown Helps | Towing | Road Side Assistance,Auto Repair Shop,3.4,14,Pune,1
Ashok Car Repairing Work,Car Repair And Maintenance Service,1.5,2,Pune,0
GoMechanic - Car Care Center,Auto Repair Shop,4.0,4,Pune,1
GarageWa - Car Care Pune,Car Repair And Maintenance Service,0.0,0,Pune,1
"BMW Bavaria Motors | Service Center, Hadapsar, Pune",Auto Repair Shop,4.7,1938,Pune,1
ASK MOTOR PUNE,Car Repair And Maintenance Service,5.0,4,Pune,1
GoMechanic - Car Service & Repairs,Auto Repair Shop,4.5,2,Pune,1
Mahalaxmi Medico & General Stores ( GENERIC MEDICAL ),Pharmacy,4.9,245,Pune,0
Shreepal Medicals,Pharmacy,4.6,22,Pune,1
Wellness Forever Pharmacy - Pune Camp,Pharmacy,3.9,106,Pune,1
LIFE CARE GENERIC PLUS PHARMACY,Pharmacy,4.9,778,Pune,0
Keep Fit Medicals,Pharmacy,4.4,11,Pune,0
Apurva Chemist,Pharmacy,4.5,10,Pune,0
Rohit Medical & General Stores,Pharmacy,4.1,120,Pune,0
Medico Point,Pharmacy,4.3,16,Pune,0
