Name,Category,Rating,Reviews,Location_Area,Has_Website
Vasant motors exclusive Daspalla Hills branch,Car Repair And Maintenance Service,4.5,55,Visakhapatnam,1
Ishaq Car A/C & Auto Electrical Works,Car Repair And Maintenance Service,4.6,105,Visakhapatnam,0
Ravi car electricals and mechanical work,Auto Electrical Service,5.0,13,Visakhapatnam,0
Siva Sankar Motors - Tata Motors Showroom,Car Repair And Maintenance Service,4.5,206,Visakhapatnam,1
Central Pharmacy - Best Pharmacy in Visakhapatnam,Pharmacy,3.3,189,Visakhapatnam,0
Somanath Medicals,Pharmacy,4.3,241,Visakhapatnam,1
Manikanta Pharmacy (Medical Shop),Pharmacy,4.8,58,Visakhapatnam,0
Apollo Pharmacy,Pharmacy,4.0,29,Visakhapatnam,1
Apollo Pharmacy Nowroji Road - Vizag,Pharmacy,3.6,74,Visakhapatnam,1
Apollo Pharmacy Ram Nagar Vizag,Pharmacy,3.3,19,Visakhapatnam,1
Apollo Pharmacy Maharanipeta,Pharmacy,4.2,17,Visakhapatnam,1
Apollo Pharmacy Siripuram,Pharmacy,3.6,141,Visakhapatnam,1
klincara pharmacy,Pharmacy,4.9,28,Visakhapatnam,0
Gupta Medicals,Pharmacy,4.1,73,Visakhapatnam,0
Subham Chemist Main Branch,Pharmacy,4.0,27,Visakhapatnam,0
Apollo Pharmacy Kotha Rd VST,Pharmacy,3.7,30,Visakhapatnam,1
MedPlus Allipuram,Pharmacy,3.8,25,Visakhapatnam,1
Sri Visakha Pharmacy,Pharmacy,3.9,8,Visakhapatnam,0
Gupta Medical & General Stores,Pharmacy,3.9,126,Visakhapatnam,0
HONEY THAI SPA Vizag - Best Massage Spa in Vizag,Spa,4.8,1057,Visakhapatnam,1
The Olive Spa - luxurious massage and jacuzzi baths,Massage Spa,4.9,608,Visakhapatnam,1
Tourists Wellness Thai Spa - Best Spa in Vizag,Massage Spa,4.9,1079,Visakhapatnam,1
Heaven Luxury Spa,Spa,4.7,324,Visakhapatnam,1
Hello Thai Spa Vizag,Massage Spa,4.7,230,Visakhapatnam,0
MG THAI SPA VIZAG,Day Spa,4.9,1034,Visakhapatnam,1
Spa Vibe - best spa in vizag,Spa,4.9,342,Visakhapatnam,1
Souan Luxury Spa Visakhapatnam,Day Spa,4.8,98,Visakhapatnam,1
Asiatic Spa & Wellness,Spa,4.7,346,Visakhapatnam,1
Kohinoor Wellness Spa - Vizag,Spa,4.9,187,Visakhapatnam,1
Dia Luxury Spa | Best Spa In Vizag | Body Massage In Vizag | Thai Spa In Vizag,Day Spa,4.7,110,Visakhapatnam,1
The Orchid Wellness and Spa - Best Spa in Visakhapatnam,Spa,4.8,150,Visakhapatnam,1
Auraa Wellness Spa,Day Spa,4.4,651,Visakhapatnam,1
Zenco Thai Spa,Day Spa,4.6,245,Visakhapatnam,1
Siri Thai Spa Vizag,Massage Spa,4.5,497,Visakhapatnam,0
Rose Luxury Thai Spa,Spa,4.9,205,Visakhapatnam,1
Bakers Castle,Bakery,4.2,3133,Visakhapatnam,0
Bakers Hub,Bakery,4.3,1943,Visakhapatnam,0
The Cake Nation,Bakery,4.7,197,Visakhapatnam,0
Bakers Den,Bakery,4.1,1677,Visakhapatnam,0
FoodEx,Bakery,4.2,5488,Visakhapatnam,1
Tisona's Crown Bakery,Bakery,4.1,1458,Visakhapatnam,0
Cupcake bakery (homemade),Bakery,4.9,170,Visakhapatnam,0
MB Treats Bakery,Bakery,4.6,80,Visakhapatnam,0
Cake Studio Vizag,Bakery,4.4,105,Visakhapatnam,0
4 Seasons Bakery & Restaurant,Pizza Restaurant,4.1,1502,Visakhapatnam,0
Unlimited Fashion Store - Vizag,Clothing Store,4.9,8385,"Peda Madina, Visakhapatnam",1
Fashion Factory,Clothing Store,4.0,10517,Visakhapatnam,1
Rekha's Designs - Boutiques in vizag,Designer Clothing Store,4.6,294,Visakhapatnam,0
South India Shopping Mall,Clothing Store,4.2,14259,Visakhapatnam,1
"Allen Solly - Clothing Store, Siripuram Main Road, Visakhapatnam",Clothing Store,4.1,139,Visakhapatnam,1
RK Family Store,Clothing Store,3.9,3021,Visakhapatnam,0
NEERU'S - VIZAG,Clothing Store,4.4,960,Visakhapatnam,1
"Pantaloons (Asilmetta Junction, Visakhapatnam)",Clothing Store,4.1,1175,Visakhapatnam,1
"Westside - Waltair Road, Visakhapatnam, Andhra Pradesh",Clothing Store,4.2,1865,Visakhapatnam,1
ZAREEN CLOTHING STORE (WHOLESALE & RETAIL),Clothing Store,4.3,251,Visakhapatnam,0
