Name,Category,Rating,Reviews,Location_Area,Has_Website
Aster Pharmacy - JP Nagar 5th Phase,Pharmacy,4.9,588,Bengaluru,1
Aster Pharmacy - HSR Layout (Stage 2),Pharmacy,4.9,991,Bengaluru,1
Aster Pharmacy - JP Nagar 2nd Phase,Pharmacy,4.9,619,Bengaluru,1
Aster Pharmacy - Haralur,Pharmacy,4.9,1095,Bengaluru,1
"BENGALURU DRUG HOUSE -JAYANAGAR, Central mall",Pharmacy,4.6,116,Bengaluru,1
"Wellness Forever Pharmacy - Kuvempu Nagar, BTM Layout",Pharmacy,3.4,186,Bengaluru,1
Aster Pharmacy - Parappana Agrahara,Pharmacy,4.9,583,Bengaluru,1
Medsure Pharmacy,Pharmacy,4.9,28,Bengaluru,0
Life Care Medicals - 10 DLF | Medical Store | Pharmacy | 24 x 7 Medical Store | Home Delivery Medical Store,Pharmacy,4.7,80,Bengaluru,1
Aster Pharmacy - Sarjapur Road (Co promotion with labs),Pharmacy,4.9,456,Bengaluru,1
Aster Pharmacy - Vishvapriya Layout,Pharmacy,4.9,1853,Bengaluru,1
"Wellness Forever Pharmacy - Opposite to Brigade Millenium Apartment, J.P. Nagar",Pharmacy,3.5,113,Bengaluru,1
Wellness Forever Pharmacy - Sarjapur,Pharmacy,3.1,76,Bengaluru,1
RAM MEDICALS,Pharmacy,4.7,237,Bengaluru,1
Mars Auto Care - Singasandra,Auto Repair Shop,4.7,350,Bengaluru,1
MITRA CARS - MULTIBRAND CAR SERVICE,Car Repair And Maintenance Service,4.8,242,Bengaluru,1
Automovill Technologies Pvt. Ltd.,Car Repair And Maintenance Service,4.3,595,Bengaluru,1
VIJAYA PHARMA,Pharmacy,5.0,56,Bengaluru,0
Apollo Pharmacy JP Nagar Phase 6 Bengaluru,Pharmacy,1.0,1,Bengaluru,1
"Wellness Forever Pharmacy - BEML Layout, Bangalore",Pharmacy,3.9,11,Bengaluru,1
Promechanik.com - doorstep car service doorstep car repair 24/7 doorstep battery jumpstart 24/7 breakdown assistant,Auto Repair Shop,4.7,264,Bengaluru,1
myTVS Car Services Sarjapura Road Bangalore,Auto Repair Shop,4.6,413,Bengaluru,1
Apollo Pharmacy - Poorna Pragna Nagar Bangalore,Pharmacy,5.0,5,Bengaluru,1
Apollo Pharmacy - Arehalli Bangalore,Pharmacy,3.0,2,"Maramma, Bengaluru",1
Pharma Point,Pharmacy,4.7,22,Bengaluru,0
Apollo Pharmacy Doddanagamangala Road Bengaluru,Pharmacy,5.0,2,Bengaluru,1
Brothers Chemist,Pharmacy,4.9,46,Bengaluru,0
Lokam Pharmacy - Haralur,Pharmacy,4.8,154,Bengaluru,1
Apollo Pharmacy,Pharmacy,3.5,79,Bengaluru,1
Apollo Pharmacy Harlur Main Road-Ambalipura,Pharmacy,3.4,146,Bengaluru,1
Aster Pharmacy - Rajarajeshwari Nagar,Pharmacy,4.9,578,Bengaluru,1
MURLI Medical,Pharmacy,4.8,15,Bengaluru,0
MED PHARMA - Nobel Residency Layout,Pharmacy,4.4,28,Bengaluru,0
Apollo Pharmacy Jaya Nagar South End Circle,Pharmacy,3.6,58,Bengaluru,1
Auto Masters,Auto Repair Shop,4.8,307,Bengaluru,1
Apollo Pharmacy - THIRUPALYA BANGALORE,Pharmacy,0.0,0,Bengaluru,0
Apollo Pharmacy Sector 1,Pharmacy,3.5,136,Bengaluru,1
"Wellness Forever Pharmacy - 18th Main Road, Padmanabhanagar",Pharmacy,4.2,57,Bengaluru,1
Brothers chemist Haralur,Pharmacy,4.7,83,Bengaluru,0
Brothers chemist chikkabellandur,Pharmacy,5.0,6,Bengaluru,0
