Name,Category,Rating,Reviews,Location_Area,Has_Website
Singla Medical Store,Pharmacy,4.5,113,Chandigarh,0
Cloudnine Pharmacy - Chandigarh,Pharmacy,3.0,1,Chandigarh,1
MedPlus Pharmacy,Pharmacy,4.9,96,Chandigarh,0
Life Care Pharmacy,Pharmacy,4.9,22,Chandigarh,0
CMC Chemists,Pharmacy,3.4,36,Chandigarh,0
Apollo Pharmacy Chandigarh Sec 34,Pharmacy,4.0,82,Chandigarh,1
Dayal Pharmacy,Pharmacy,5.0,107,Chandigarh,1
Farid Medicos,Pharmacy,4.0,22,Chandigarh,0
SUDHA PHARMACY CHANDIGARH,Pharmacy,4.9,48,Chandigarh,0
PRATAP BROTHERS CHEMIST,Pharmacy,4.9,42,Chandigarh,0
Capital Medicos,Pharmacy,3.8,50,Chandigarh,0
PAB REMEDIES CHEMIST,Pharmacy,4.9,78,Chandigarh,0
Apollo Pharmacy Chandigarh Sector 7C,Pharmacy,3.8,79,Chandigarh,1
Rajinder Medical Store,Pharmacy,4.6,66,Chandigarh,0
GoMechanic - Car Mechanic Chandigarh,Auto Repair Shop,4.0,85,Chandigarh,1
Saluja Motors,Car Repair And Maintenance Service,4.9,417,Chandigarh,1
VecRep.com,Car Repair And Maintenance Service,4.9,120,Chandigarh,1
Castrol Auto Service - Next Gen Auto Solutions,Car Repair And Maintenance Service,4.8,70,Chandigarh,1
Mohinder Autos,Car Repair And Maintenance Service,4.7,34,Chandigarh,0
Mohit Auto Ac repair service,Car Repair And Maintenance Service,4.8,18,Chandigarh,0
SK Medicos,Pharmacy,5.0,1,Chandigarh,0
Flavours by Shivani( FBS Cakes),Cake Shop,4.9,768,Chandigarh,1
Brown Baking Company | Bakery in Chandigarh,Bakery,4.0,230,Chandigarh,0
The Baker Smith | Customized Birthday Cakes & Eggless Cake Delivery Chandigarh,Bakery,4.9,192,Chandigarh,1
Bake Bliss Bakery,Bakery,4.7,28,Chandigarh,1
Cookie Marwaha,Bakery,4.7,107,Chandigarh,1
The Bakers,Bakery,4.2,282,Chandigarh,0
Cookie's Jar by Geet and Vir,Bakery,4.7,749,Chandigarh,1
Baker's Lounge Brinda Sweets 46C,Bakery,4.6,69,Chandigarh,0
"Theobroma Bakery and Cake Shop - Sector 35C, Chandigarh",Cake Shop,4.9,924,Chandigarh,1
Bakefood bakery,Bakery,4.6,74,Chandigarh,0
The Baker Smith | Birthday Wedding Cake Delivery In Chandigarh Mohali Panchkula Kharar Zirakpur | Best Bakery In Chandigarh,Bakery,4.8,656,Chandigarh,1
Adyanta's Cake,Bakery,4.9,15,Sahibzada Ajit Singh Nagar,1
Uttam Sweets & Dairy Products,Bakery,4.0,3579,Chandigarh,0
Oven Fresh,Bakery,4.4,5584,Chandigarh,0
NIK BAKER'S,Bakery,4.3,2634,Chandigarh,1
"Theobroma Bakery and Cake Shop - Industrial Area - Elante Mall, Chandigarh",Bakery,4.6,308,Chandigarh,1
Vedas Spa - Best Spa in Chandigarh,Massage Spa,4.5,300,Chandigarh,1
Tritam luxury Spa and Beauty,Spa,4.9,1064,Chandigarh,0
Red Orchid Spa,Spa,4.9,2201,Chandigarh,1
Rasa The Luxury Spa - Massage Centre in Chandigarh,Spa,4.7,291,Chandigarh,1
Spa Vriksh,Massage Spa,4.9,595,Chandigarh,1
Spa Kora - Best Spa in Chandigarh | Massage service,Spa,4.6,281,"C, Chandigarh",1
Sha International Spa & Wellness - Best Spa in Chandigarh,Spa,4.7,107,Chandigarh,1
Blue Terra Spa,Day Spa,4.7,393,Chandigarh,1
Floria Thai Spa Chandigarh - Body Massage - Body Spa in Chandigarh,Spa,4.6,200,Chandigarh,1
Suwattana (The Traditional Thai Spa),Spa,4.1,119,Chandigarh,1
Glamour the luxury spa,Spa,4.8,101,Chandigarh,0
Paradiso Spa,Day Spa,4.6,141,Chandigarh,1
Avalon Spa Chandigarh - Body Massage - Body Spa in Chandigarh,Spa,4.5,280,Chandigarh,1
Relax Zone Thai Spa,Massage Spa,4.6,410,Chandigarh,0
Forever Spa,Massage Spa,4.9,421,Chandigarh,0
Aura Thai Spa,Massage Spa,4.4,493,Chandigarh,1
Tree Spa,Massage Spa,4.9,582,Chandigarh,1
Paradise Salon & Spa | Best Spa In Chandigarh,Massage Spa,4.6,210,Chandigarh,0
Modern Look Salon & Spa,Spa,5.0,2,Chandigarh,0
Squeeze Styles Unisex Salon & Spa,Beauty Salon,3.7,25,Chandigarh,0
"Pantaloons (Elante Mall, Chandigarh)",Clothing Store,4.7,2292,Chandigarh,1
JAAS NEER - Best Men Clothing Shop in Chandigarh |Men Accessories Store in Chandigarh,Clothing Store,4.8,40,Chandigarh,1
Sood General And Army,Men'S Clothing Store,5.0,37,Chandigarh,0
Sunder Emporium,Women'S Clothing Store,4.8,638,Chandigarh,0
Nanak Di Hatti cloths store,Women'S Clothing Store,5.0,8,Chandigarh,0
Sham Fashion Mall,Clothing Store,4.1,4226,Chandigarh,1
Lifestyle Stores,Clothing Store,4.3,2345,Chandigarh,1
"Bewakoof Clothing Store - Nexus Elante Mall, Chandigarh",Clothing Store,4.9,836,Chandigarh,0
Velvia Designers,Designer Clothing Store,5.0,26,Chandigarh,0
Mittal readymade garments,Clothing Store,4.9,44,Chandigarh,0
"The Pant Project Store - Elante Mall, Chandigarh",Clothing Store,4.9,1436,Chandigarh,1
"AANCHAL | Women Clothing & Fashion Store Latest Suits & Lehenga, Designs in chandigarh",Women'S Clothing Store,4.2,364,Chandigarh,1
TRENDS,Clothing Store,4.2,1489,Chandigarh,1
Sharma Fashion,Clothing Store,4.1,45,Chandigarh,1
"Kuldeep Emporium|Best bridal lehngas & ethnic wear store for designers suits, kurtis,dresses, kaftans, peplums,winter wear",Women'S Clothing Store,4.9,423,Chandigarh,0
"AND - Elante Mall, Chandigarh",Western Apparel Store,4.9,127,Chandigarh,1
A TO Z COLLECTIONS (Wholesale Only),Clothing Store,4.7,120,Chandigarh,1
