Name,Category,Rating,Reviews,Location_Area,Has_Website
"Muthu Pharmacy - T.Nagar, Thirumalai Pillai Road",Pharmacy,4.8,163,"Chennai, Greater Chennai",1
Chennai Medicals,Pharmacy,4.8,56,"Chennai, Greater Chennai",0
Classic Pharmacy (Apollo Medicines | Best Pharmacy in Thousand lights and Greams road),Pharmacy,4.9,38,"Chennai, Greater Chennai",0
"Thulasi Pharmacy - Nungambakkam, Chennai",Pharmacy,4.9,358,"Chennai, Greater Chennai",1
Tamira Pharmacy,Pharmacy,4.8,109,"Chennai, Greater Chennai",1
Apollo Pharmacy Mount Road Ritchie Street,Pharmacy,3.7,26,"Chennai, Greater Chennai",1
JAYALAKSHMI MEDICALS,Pharmacy,5.0,83,"Chennai, Greater Chennai",0
Bharath Pharmacy,Pharmacy,4.9,45,"Chennai, Greater Chennai",0
HOUSE OF PHARMA,Pharmacy,3.9,26,"Chennai, Greater Chennai",0
MedPlus Chindatripet Pharmacy & Lab,Medical Laboratory,4.1,40,"Chennai, Greater Chennai",1
Muthu Pharmacy - Egmore High Road (24 Hours),Pharmacy,4.0,161,"Chennai, Greater Chennai",1
Shanthi medi home,Pharmacy,4.8,36,"Chennai, Greater Chennai",0
Apollo Pharmacy Vepary,Pharmacy,3.2,96,"Chennai, Greater Chennai",1
"Thulasi Pharmacy - Ayanavaram, Chennai",Pharmacy,4.9,1794,"Chennai, Greater Chennai",1
Malick Chemists,Pharmacy,4.7,20,"Chennai, Greater Chennai",0
Muthu Pharmacy - Poonamallee High Road,Pharmacy,4.9,58,"Chennai, Greater Chennai",1
PETROMIN - CENTRAL,Auto Repair Shop,4.7,293,"Chennai, Greater Chennai",1
EZRA AUTOMOBILES,Car Repair And Maintenance Service,5.0,256,"Chennai, Greater Chennai",0
The Spa - Chennai | தி ஸ்பா | Turkish Hammam Spa | Best spa in Chennai | Hotel AK International,Spa,4.6,88,"Chennai, Greater Chennai",1
Aura Spa,Spa,4.9,587,"Chennai, Greater Chennai",1
Enchanted butterfly wellness and spa,Spa,4.8,236,"Chennai, Greater Chennai",1
4M Salon and Spa | Best Thai Spa near me in Chennai | Massage center Spa in Chennai Best Luxury Spa Nearby Nungambakkam,Spa,4.6,240,"Chennai, Greater Chennai",1
Blue Lounge Spa - Mount Road,Massage Spa,4.7,211,"Chennai, Greater Chennai",1
Spa Blu | spa in nungambakkam | massage in nungambakkam,Spa And Health Club,4.9,327,"Chennai, Greater Chennai",1
Green Day Spa - Mylapore | க்ரின் டே ஸ்பா | Best Spa In Chennai | Turkish Hammam Spa | Yoga | Thai | Ayurveda,Day Spa,4.2,248,"Chennai, Greater Chennai",1
Manthra Bali Spa,Spa,4.5,246,"Chennai, Greater Chennai",1
Green Shine Spa,Spa,4.9,101,"Chennai, Greater Chennai",1
Star Wellnass Center Periyamet | SPA,Spa,4.7,232,"Chennai, Greater Chennai",1
Spa Pavilion,Spa,4.8,365,"Chennai, Greater Chennai",0
Ashlee SPA Mylapore,Day Spa,4.9,277,"Chennai, Greater Chennai",1
Chennai classic cakes 🎂 சென்னை கிளாசிக் கேக்ஸ்,Cake Shop,4.9,2469,"Chennai, Greater Chennai",1
CK's Bakery Gopalapuram,Bakery,4.8,1042,"Chennai, Greater Chennai",1
The Glaze - Chennai,Bakery,4.9,299,"Chennai, Greater Chennai",1
The Madras Kneads,Bakery,4.7,959,"Chennai, Greater Chennai",1
Smith Field Bakery,Bakery,4.5,682,"Chennai, Greater Chennai",1
CMAKES Cakes & Desserts,Cake Shop,4.9,198,"Chennai, Greater Chennai",1
Karachi Bakery & Cafe Chennai,Bakery,4.3,1585,"Chennai, Greater Chennai",1
Old Madras Baking Company (Nungabakkam),Bakery,4.4,651,"Chennai, Poombukar Nagar",0
"Theobroma Bakery and Cake Shop - Kellys, Chennai",Bakery,4.6,701,"Chennai, Greater Chennai",1
"Theobroma Bakery and Cake Shop - Nungambakkam, Chennai",Cake Shop,4.1,576,"Chennai, Greater Chennai",1
Beyond Loaf,Bakery,4.6,210,"Chennai, Greater Chennai",1
Style Union - Chennai Citi Centre,Clothing Store,4.9,10448,"Chennai, Greater Chennai",1
Modern Era | boutique in chennai | womens clothing stores,Women'S Clothing Store,4.7,59,"Chennai, Greater Chennai",0
