Name,Category,Rating,Reviews,Location_Area,Has_Website
Jiya Bakers,Bakery,4.9,28,"New Delhi, Delhi",0
Beyond Bakers,Bakery,5.0,37,New Delhi,0
Indian Live Cake Shop,Bakery,4.8,101,New Delhi,0
Baking corridor,Bakery,4.8,123,New Delhi,1
Pari Bakery Restaurant,Bakery,4.7,27,New Delhi,1
Cake palace,Cake Shop,4.6,126,New Delhi,0
Great Fresh Bakery Delhi,Wholesale Bakery,5.0,11,New Delhi,1
Cake & Puffs,Bakery,4.9,35,"Delhi, New Delhi",0
New Grace Bakery,Bakery,3.9,106,New Delhi,0
The Cake Delight,Cake Shop,4.2,89,New Delhi,1
Eve Spa And Massage Parlour,Massage Therapist,4.8,930,New Delhi,1
La Bella Luxury Spa,Spa,4.9,781,New Delhi,1
Aheli Spa,Spa,4.4,57,New Delhi,1
Sawadhee Traditional Thai Spa,Spa,4.4,523,New Delhi,1
Green Oasis Spa | Best Spa Green Park | Thai Spa | Couples Spa | Luxury Spa | Massage Center Hauz Khas | South Delhi,Spa,4.9,478,New Delhi,1
Blue Terra Spa CP,Day Spa,4.5,1088,New Delhi,1
Indriya Spa,Spa And Health Club,4.2,28,New Delhi,1
Dazzle Luxury Spa,Massage Spa,4.9,434,"Delhi, New Delhi",1
The New delhi Spa,Massage Spa,4.9,29,New Delhi,0
"Euphoria Spa - Best Spa in Delhi, South Delhi,SDA Market,Green Park, HauzKhas",Massage Spa,4.8,582,New Delhi,1
Solace Luxury Spa,Spa,4.9,203,New Delhi,1
Crown Thai Luxury Spa Aya Nagar,Massage Spa,5.0,74,New Delhi,1
Crown Male To Male Spa Aya Nagar Delhi,Massage Spa,4.9,79,New Delhi,1
BIBA,Women'S Clothing Store,3.8,10,New Delhi,1
CityKart Kapashera,Clothing Store,4.7,2010,New Delhi,1
Siyaram garments,Clothing Store,5.0,1,New Delhi,0
SHREE - She is Special,Clothing Store,4.3,113,New Delhi,1
D C S Original,Men'S Clothing Store,4.9,49,New Delhi,0
Marvel sports wear,Clothing Store,5.0,54,New Delhi,0
Brand King Delhi,Men'S Clothing Store,3.7,39,New Delhi,0
jyoti fashion hub,Designer Clothing Store,5.0,2,New Delhi,0
harshita garments,Clothing Store,5.0,6,New Delhi,0
Gothwal Fashion & Footwear,Clothing Store,5.0,33,New Delhi,1
Khadi Ghar Delhi,Clothing Store,4.1,18,New Delhi,0
Kids fashion gallery,Clothing Store,5.0,2,New Delhi,1
Qdari fashion point,Men'S Clothing Store,5.0,15,New Delhi,0
Cafe Di Milano,Coffee Shop,4.2,5268,Delhi,1
Caffè Tonino (IGI),Italian Restaurant,4.8,1749,"New Delhi, Delhi",1
Elito Coffee Eatery,Cafe,4.5,521,"New Delhi, Delhi",0
