Name,Category,Rating,Reviews,Location_Area,Has_Website
"One Bharat Pharmacy, Sapphire, Sector 83",Pharmacy,4.8,149,Gurugram,1
NEW HEALTH PLUS PHARMACY — HOME DELIVERY,Pharmacy,4.9,46,Gurugram,0
Citymed Pharmacy,Pharmacy,5.0,11,Gurugram,0
A one pharmacy,Pharmacy,4.5,38,Gurugram,0
Dr Morepen Pharmacy,Pharmacy,4.9,27,Gurugram,1
SEVA PHARMACY,Pharmacy,4.7,19,Gurugram,0
Apollo Pharmacy Sector 83,Pharmacy,4.2,19,Gurugram,1
Healthcare pharmacy,Pharmacy,5.0,13,Gurugram,0
Rock Pharmacy,Pharmacy,4.8,58,Gurugram,0
DAYA PHARMACY,Pharmacy,4.8,12,Gurugram,0
Apollo Pharmacy Gurugram Sector 86,Pharmacy,4.2,20,Gurugram,1
Maan Medical Store,Pharmacy,5.0,946,Gurugram,0
"Apollo Pharmacy - Sector 82, Gurugram",Pharmacy,2.9,43,Gurugram,1
DS Medicose!!Best Pharmacy Nearby !! 15-70% Discount!! Free Home Delivery,Pharmacy,5.0,42,Gurugram,0
Geeta Pharmacy,Pharmacy,4.8,10,Gurugram,0
Care pharmacy 24 into 7,Pharmacy,5.0,14,Gurugram,0
SHREE medical hall pharmacy,Pharmacy,4.9,44,Gurugram,0
Apollo Pharmacy Sector 90,Pharmacy,2.7,45,"Gurugram, Meoka",1
Pradhan Mantri Jan Aushadhi Kendra Gurugram,Pharmacy,5.0,66,Gurugram,0
Modern Pharmacy,Pharmacy,4.2,13,Gurugram,0
Apollo Pharmacy Elan Epic Sector 70 Gurugram,Pharmacy,3.6,107,Gurugram,1
Apollo Pharmacy Gurugram Sector 69,Pharmacy,3.3,60,Gurugram,1
Live Pharmacy Baani Square Sec-50,Pharmacy,4.0,28,Gurugram,0
Apollo Pharmacy Gurgaon Sapphire,Pharmacy,3.5,60,Gurugram,1
Remedy Pharmacy,Pharmacy,5.0,1,Gurugram,1
Apollo Pharmacy South City 2,Pharmacy,3.0,51,Gurugram,1
Apollo Pharmacy Sector 47,Pharmacy,4.0,62,"Gurugram, Fatehpur",1
"Healic Pharmacy - VSR 68 Avenue, Badshahpur Sohna Rd, Sector 68, Gurugram",Pharmacy,0.0,0,Gurugram,1
New Angel pharmacy,Pharmacy,4.9,16,Gurugram,0
"Cloudnine Pharmacy - Sector 47, Gurugram",Pharmacy,5.0,1,Gurugram,1
Apollo Pharmacy Gurugram Sector 49,Pharmacy,3.6,90,Gurugram,1
Om Pharmacy,Pharmacy,4.9,48,Gurugram,0
Apollo Pharmacy Sector 49 & 50,Pharmacy,3.8,55,Gurugram,1
"Healthcare Pharmacy - Pharmacy shop, Medical shop, Medicine home delivery",Pharmacy,4.9,17,Gurugram,1
HealthHUB Pharmacy,Pharmacy,5.0,2,Gurugram,0
Shree ram pharmacy,Pharmacy,5.0,2,Gurugram,0
MedStop Pharmacy,Pharmacy,5.0,1,Gurugram,0
The Chemist,Pharmacy,4.4,8,Gurugram,0
Apollo Pharmacy Bestech Park Gurgaon,Pharmacy,3.2,53,Gurugram,1
Live Pharmacy,Pharmacy,4.9,74,Gurugram,0
"Apollo Pharmacy - Emaar Palm Drive, Gurugram",Pharmacy,2.6,10,Gurugram,1
V care pharmacy,Pharmacy,5.0,5,Gurugram,0
well health pharmacy,Pharmacy,4.6,46,Gurugram,1
Shri Balaji Pharmacy,Pharmacy,2.8,14,Gurugram,0
Medanta Pharmacy | Labs | Clinic - Sapphire Sector 90,Pharmacy,2.0,10,"Gurugram, Meoka",1
Apollo Pharmacy Gurgaon Sector 70,Pharmacy,4.1,34,Gurugram,1
Alka Pharmacy,Pharmacy,4.4,32,Gurugram,0
Pharmville Pharmacy Sector 71 Gurugram,Pharmacy,5.0,1,Gurugram,1
Kaushik Medicos Best Pharmacy Chemist shop sector 85 Gurgaon,Pharmacy,4.8,55,Gurugram,0
Mohanlal Pharmacy,Pharmacy,4.7,3,Gurugram,0
Theobroma Bakery and Cake Shop- IRIS Broadway,Bakery,4.8,966,Gurugram,1
91 Bake House by ruby,Bakery,4.9,90,"Gurugram, Meoka",1
Shivani's Bake Box,Bakery,5.0,336,Gurugram,0
Fluffy Giraffe Bakery & Patisserie,Bakery,4.8,197,Gurugram,1
Aaradhya bakery,Bakery,4.8,184,"Panchgaon, Fazalwas",1
Bakers Oven,Bakery,4.5,270,Gurugram,1
Ansh Cake Bakery (Home Baker's),Cake Shop,4.8,74,Gurugram,0
Sweetness Bakery & Cafe,Bakery,4.9,54,Gurugram,0
Bakes n Berries- Best Cake in Gurgaon,Bakery,4.8,133,"Gurugram, Meoka",1
Whisking Magic Patisserie,Bakery,5.0,107,Gurugram,1
Sugary Delight | Sugar International Gold Bakers LLP,Bakery,4.9,75,Gurugram,0
Dwija Bake Studio,Bakery,4.8,210,Gurugram,1
Shortcrust Bakes,Bakery,4.7,164,"Gurugram, Meoka",1
Blessings Bakery,Bakery,4.6,434,Gurugram,1
Shree Brothers bakery,Bakery,4.9,148,Gurugram,0
Cakey.co.in,Bakery,4.9,39,Gurugram,0
The Cake Boutique,Cake Shop,4.9,182,Gurugram,1
The Bakehouse Code,Bakery,4.8,35,Gurugram,0
Bake 2 Cake,Bakery,4.9,55,Gurugram,0
Golden Bake & Cakes,Bakery,4.7,512,"Gurugram, Fatehpur",0
Cake Plaza,Cake Shop,4.8,1100,Gurugram,1
"Theobroma Bakery and Cake Shop - Baani Square, Gurugram",Bakery,4.6,456,Gurugram,1
Sweet Lil Things Bakery,Bakery,4.9,197,Gurugram,1
Kwality Cafe & Bakery,Bakery,4.4,717,Gurugram,0
Best Customised Cakes in Gurgaon Cakes Planet,Cake Shop,5.0,154,"Gurugram, Fatehpur",0
Handcrafted Bakers,Bakery,4.5,99,Gurugram,0
Bakes N Berries- Designer Cake Shop in Gurgaon,Bakery,4.6,504,"Gurugram, Fatehpur",1
FUCHSIA BAKERY & PATISSERIE,Bakery,4.5,50,Gurugram,0
The CUPnCAKE Factory,Bakery,4.4,105,Gurugram,1
The Coco Company - Bakery in Gurgaon,Bakery,4.5,211,Gurugram,1
Oven Time,Cake Shop,4.8,86,Gurugram,0
Cake Plaza in Gurgaon,Cake Shop,4.3,189,Gurugram,1
Binge Bakery and More,Bakery,4.1,632,Gurugram,0
Mon Delice,Cake Shop,4.5,97,Gurugram,1
The Kuku Bakers,Bakery,4.9,96,Gurugram,0
Amairra’s Patisserie,Bakery,4.7,48,Gurugram,1
HHouse of Breadss,Bakery,4.9,114,Gurugram,1
HILL BAKER'S & CAFÉ,Bakery,4.4,60,Gurugram,0
The Bake Theory,Bakery,5.0,76,Gurugram,0
Glaze n Gourmet | Best Home Baker for Custom Cakes,Bakery,5.0,30,"Gurugram, Samaspur",1
Harish bakery,Bakery,4.7,69,Gurugram,0
Vrinda Bakers,Bakery,5.0,41,Gurugram,0
Cake merchant,Bakery,4.6,31,"Meoka, Gurugram",0
Cake Desire,Cake Shop,4.4,264,Gurugram,1
Baker's Castle,Bakery,5.0,33,Gurugram,0
Vanilla and Scotch,Bakery,5.0,29,Gurugram,1
Bakingo,Bakery,3.7,186,Gurugram,0
SugarLicious (The Eggless Bakery),Bakery,4.1,89,"Gurugram, Fatehpur",1
Grapes spa Sector 83 Gurgaon-Massage Center in Sector 83,Day Spa,4.6,102,Gurugram,1
Welcome Spa 83-Spa in Sector 83 Gurgaon,Spa And Health Club,4.1,100,Gurugram,1
Black stone spa Sector 83 Gurgaon-Massage Center in Sector 83,Spa,4.8,87,Gurugram,1
Nimoli Wellness Spa,Spa,4.9,154,Gurugram,1
The Spa,Spa,4.9,16,Gurugram,1
WELLNESS SPA,Spa,4.6,22,"Gurugram, Meoka",1
Blue Planet Spa 3 - Massage Spa in Gurgoan Sec 86,Massage Spa,4.5,30,Gurugram,1
Lotus Spa Sohna Road-Massage Center in Sector 48 Gurgaon | Spa in Sohna Road | Luxury Spa in Sohna Road,Spa,4.7,127,Gurugram,1
Spa walk | Spa in Sector 69 Gurgaon | Spa in Sohna Road | Luxury Spa in Gurgaon,Spa,4.8,80,Gurugram,1
Body & Soul Balance Spa,Massage Spa,5.0,23,Gurugram,1
Sattva Wellness SPA,Spa,4.4,30,Gurugram,1
Blossom Spa-Massage Spa In Gurgaon | Luxury Spa In Gurgaon,Spa,4.9,52,Gurugram,1
Queen Luxury Spa Gurugram - Best Massage Spa In Gurugram,Spa,4.7,174,Gurugram,1
Alizi Spa - Best Spa In Gurgaon - Luxury Spa In Gurgaon,Spa,4.5,521,Gurugram,1
VIP Spa - Best Spa In Gurgaon | Spa In Gurgaon | Affordable Spa In Gurgaon | Luxury Spa In Gurgaon,Spa,4.8,898,Gurugram,1
Silky spa,Health Spa,4.4,53,Gurugram,0
Radiant Luxury Spa Gurugram,Spa,4.8,161,Gurugram,1
The Shvasa Spa,Spa,4.5,22,Gurugram,1
Laser Spa,Spa,3.8,199,Gurugram,1
Ingenious Spa - Sector 47-Massage Center in Sector 47 Gurgaon | Luxury Spa in Sector 47 | Couple Spa,Massage Spa,4.9,162,"Gurugram, Fatehpur",1
Health Thai Spa Gurgaon-Massage Spa In Sector 49 Gurgaon | Massage center In Gurgaon,Day Spa,4.8,153,Gurugram,1
Alma Thai Spa Sector 50-Massage Spa in Sector 50 | Luxury Spa in Gurgaon | Spa in Sector 50 Gurgaon,Massage Spa,4.6,94,"Gurugram, Fatehpur",1
Marvel spa Sector 50 Gurgaon Massage Center in Gurgaon,Day Spa,4.9,176,Gurugram,1
Spa Lavish Massage Center-Thai Spa in Sector 49 Gurgaon,Spa,4.6,112,"Gurugram, Fatehpur",1
Luma LUXURY SPA Sector 47 | Luxury Spa in Gurgaon | Couple Spa in Gurgaon,Spa,4.8,131,Gurugram,1
"Spa Meraki- Spa in Sector 50 Gurgaon, Massage Spa in Gurgaon",Day Spa,4.7,210,Gurugram,1
Queens Spa,Spa,4.9,116,Gurugram,1
Aroma luxury Spa-Spa in Sector 49-Massage Center in Gurgaon,Day Spa,4.6,125,Gurugram,1
Red Coral Wellness Spa,Spa,4.9,192,Gurugram,1
Elite Luxury Spa | Spa in Sector 49 Gurgaon,Day Spa,4.9,135,Gurugram,1
Red Orchid Spa,Spa,4.9,1379,Gurugram,1
Sunshine Wellness Spa (Spa In Sector 47),Spa,4.7,98,Gurugram,1
The Luxury Spa Sector 49 & Massage Center Sector 49 | Luxury Spa in Sector 49 | Spa in Sector 49 Gurgaon,Day Spa,4.6,42,"Gurugram, Fatehpur",1
SENSAURA The Luxury Spa Gurgaon,Spa,4.5,144,Gurugram,1
Sunshine Spa - Best Spa in Sector 50 Gurgaon,Massage Spa,4.9,76,"Gurugram, Fatehpur",1
Alcor SPA,Spa,4.9,522,Gurugram,1
Spa Lavish Sector 47 Massage Spa Centre Sohna Road Gurgaon,Spa,4.8,81,Gurugram,1
Balish Spa Golf Course Extension Road-Massage Spa in Sector 66 Gurgaon,Day Spa,4.7,35,Gurugram,1
Ariayana Spa,Day Spa,4.5,164,Gurugram,1
Relax-Thai Spa Sector 66-Massage Center in Sector 66 Gurgaon | Best Spa in Gurgaon | Luxury Spa in Gurgaon,Day Spa,4.5,40,Gurugram,1
A Golden Spa,Massage Spa,4.9,809,Gurugram,1
Aphrodite Buddha Spa,Spa,5.0,221,Gurugram,1
The Pattom Thai Spa-Massage Spa In Sector 49 Gurgaon,Spa,4.7,67,"Gurugram, Fatehpur",0
PARADISE SPA | LUXURY SPA | SPA NEAR ME IN GURGAON | BEST SPA IN GURGAON,Spa,3.6,50,Gurugram,1
Elite Spa,Spa And Health Club,4.0,88,Gurugram,0
SPA Gurgaon best spa near me luxury spa couple massage day spa,Massage Spa,4.6,18,"Gurugram, Fatehpur",0
Spa Golden Crown || Best SPA In Baani Square Gurgaon || Near Me SPA Sector 50,Massage Spa,4.3,43,Gurugram,1
Royal Massage Spa,Spa,4.3,30,Gurugram,1
"Bee Happy Premium Thai Spa , Luxury Spa in Sector 50",Massage Spa,4.7,14,Gurugram,1
Asian Saga Spa,Spa,4.0,286,Gurugram,0
"Pantaloons (Sapphire 83, Gurugram)",Clothing Store,4.8,969,Gurugram,1
Fashion Flower Boutique,Women'S Clothing Store,4.3,1426,"Gurugram, Meoka",0
9to6yards- women clothing store,Saree Shop,4.9,37,Gurugram,1
The Rooptara,Women'S Clothing Store,5.0,120,Gurugram,1
"SALT Attire - Gurugram, Elan Miracle",Clothing Store,4.8,146,Gurugram,1
Ajmera trends Gurugram,Clothing Store,5.0,62,Gurugram,1
