Name,Category,Rating,Reviews,Location_Area,Has_Website
Backyard Cafe,Cafe,4.1,791,Secunderabad,0
Sitara cafe,Cafe,4.4,92,"Secunderabad, Hyderabad",0
Roastery Coffee House,Coffee Shop,4.4,15249,Hyderabad,1
Love Bakery - Sourdough Bread Café,Bakery,4.5,93,"Hyderabad, Secunderabad",0
Dome Cafe - Sainikpuri,Cafe,4.3,604,"Hyderabad, Secunderabad",0
La Vie En Rose Cafe,Cafe,4.6,3936,Secunderabad,0
TASTE OF KERALA,Kerala Restaurant,4.3,399,"Hyderabad, Secunderabad",0
The Fat Cat Kitchen,Hamburger Restaurant,4.6,1633,Secunderabad,0
Cinema Mandi Frames & Flavours,Restaurant,4.4,190,"Hyderabad, Secunderabad",0
Ankapur Ruchulu Pakka Telangana,Family Restaurant,4.3,196,Secunderabad,0
Barkaas Arabic Restaurant Kompally,Arab Restaurant,4.7,3204,Hyderabad,1
Kalakar cafe,Cafe,4.9,87,Hyderabad,0
L'unico Cafe,Restaurant,4.7,283,"Hyderabad, Secunderabad",1
7 Sisters,Asian Restaurant,4.6,2498,Hyderabad,0
Thinespo Cafe and Restaurant,Restaurant,4.2,7173,"Secunderabad, Hyderabad",1
Animal Park Mandi House - SUCHITRA,Restaurant,4.4,667,"Hyderabad, Secunderabad",0
Teluguness,South Indian Restaurant,4.4,1845,Hyderabad,0
O'Rica | Tropical Kitchen,Restaurant,4.2,1304,"Hyderabad, Secunderabad",1
The Forest Arabian Mandi,Indian Restaurant,4.5,457,Secunderabad,0
"AB's - Absolute Barbecues | Kompally, Hyderabad",Barbecue Restaurant,4.1,3195,Hyderabad,1
Jagavis Kritunga Train Restaurant,Biryani Restaurant,3.8,7964,"Hyderabad, Secunderabad",0
Kanchi Cafe - Kompally,Restaurant,4.4,1767,Hyderabad,0
Kapoor's Cafe - Kompally,Punjabi Restaurant,4.5,957,"Hyderabad, Secunderabad",0
Enzo Cafe,Cafe,4.7,177,"Hyderabad, Secunderabad",0
Ricch Cafe,Cafe,4.7,32,Hyderabad,1
HOT N COOL CUPS,Cafe,4.6,118,Hyderabad,0
Cake Cafe - Chintal,Bakery,4.3,104,Hyderabad,0
Astronaut cafe,Restaurant,4.8,17,Hyderabad,0
KUMBAKONAM DEGREE COFFEE,Cafe,3.9,47,Hyderabad,1
Whistling Brew,Cafe,0.0,0,Hyderabad,1
The Rooftop Mandi,Restaurant,4.0,182,Hyderabad,0
Rajasthan Dhaba,Rajasthani Restaurant,4.2,1892,Hyderabad,0
Chirag Arabian Mandi,Restaurant,4.2,2170,Hyderabad,0
Gismat Jail Mandi Restaurant,Arab Restaurant,4.1,2720,Hyderabad,0
Masala Muchatlu,Chinese Restaurant,4.6,129,"Hyderabad, Secunderabad",0
Spice 44 Restaurant,South Indian Restaurant,3.9,37,"Hyderabad, Secunderabad",0
Sahara Restaurant,Biryani Restaurant,3.9,5953,Hyderabad,0
Priyadarshini Restaurant,South Indian Restaurant,3.8,8024,Hyderabad,1
Punjabi Paneer Chhole Bhature,Fast Food Restaurant,4.8,970,Hyderabad,0
Lucky’s restaurant Suchitra,Restaurant,3.9,382,Hyderabad,0
Punjabi Chaap Corner (Pure Vegetarian Restaurant),Punjabi Restaurant,4.0,727,"Hyderabad, Secunderabad",0
Suchitra food court,Vegetarian Restaurant,4.3,106,Hyderabad,0
Chandini Family Dhaba hyd,North Indian Restaurant,3.9,1979,Hyderabad,0
TeaMax Cafe Alwal,Cafe,3.8,8,"Hyderabad, Secunderabad",1
Chai Bunk Kowkoor,Cafe,5.0,1,Secunderabad,1
Masala Republic,Modern Indian Restaurant,4.0,199,"Secunderabad, Hyderabad",1
Seoul in town ( Authentic Korean Cuisine ),Korean Restaurant,3.9,217,Secunderabad,0
Meghana's Biryani,Biryani Restaurant,3.8,638,Hyderabad,0
Gurukrupa Family Dhaba,Restaurant,4.5,111,Hyderabad,0
Biryani House,Biryani Restaurant,3.7,3399,Hyderabad,0
WOW Mandi,Family Restaurant,4.6,17,Hyderabad,0
Sainath darshini,South Indian Restaurant,3.9,313,Hyderabad,0
The Momocha,Nepalese Restaurant,3.9,79,"Hyderabad, Secunderabad",0
Chatoro's,Takeout Restaurant,3.9,241,"Hyderabad, Secunderabad",1
Shree Ganesh Dhaba,Vegetarian Restaurant,4.5,205,Hyderabad,1
Lokanta Doner Kebab | best restaurant in Secunderabad,Turkish Restaurant,4.1,46,"Hyderabad, Secunderabad",0
Sahara Family Restaurant And Mandi,Restaurant,4.1,32,Hyderabad,0
Food spot,Restaurant,4.1,46,Hyderabad,0
MAHIMA JYOTHI RESTAURANT,Restaurant,4.4,14,Hyderabad,0
Aadya's Kitchen,Food Court,3.6,156,"Hyderabad, Secunderabad",0
Om Punjabi Dhaba,Punjabi Restaurant,4.0,135,Hyderabad,0
Shree Balaji dhanlaxmi Dhaba,Rajasthani Restaurant,4.2,141,Hyderabad,0
Raaga Grand Bar And Restaurant,Restaurant,3.8,654,Hyderabad,0
Vasista Godavari pulao and Dum Biryani,Indian Restaurant,3.6,172,Hyderabad,0
"Pizza Hut | Kompally, Hyderabad",Pizza Restaurant,4.1,2459,"Hyderabad, Secunderabad",1
Meena Idly Centre,South Indian Restaurant,4.3,339,Hyderabad,0
"Domino's Pizza | Father Balaiah Nagar, Hyderabad",Pizza Restaurant,3.4,609,Secunderabad,1
The Big Bite Shawarma Suchitra,Shawarma Restaurant,4.0,41,Hyderabad,1
SAINMA Restaurant,North Indian Restaurant,4.0,6632,Hyderabad,0
Treditional Rice Bowl,Restaurant,4.8,4,Hyderabad,0
Azian Dynasty,Asian Restaurant,4.7,38,"Hyderabad, Secunderabad",0
Kompally Ruchulu,Vegetarian Restaurant,0.0,0,"Hyderabad, Secunderabad",1
BillionHairs Unisex Salon,Hair Salon,4.9,2117,Secunderabad,0
Green Trends Unisex Hair and Style Salon - Yapral,Beauty Salon,4.8,2114,"Hyderabad, Secunderabad",1
JAWED HABIB HAIR & BEAUTY STUDIO,Hair Salon,4.7,1040,Secunderabad,1
Trim X - Best Men's Salon in Yapral,Hairdresser,4.6,300,"Hyderabad, Secunderabad",1
