Name,Category,Rating,Reviews,Location_Area,Has_Website
Perfect Cafe,Cafe,4.5,27,Indore,0
Shree Purne Cafe,Cafe,4.4,37,Indore,0
Your Own Brew cafe,Cafe,4.5,499,Indore,1
CAFE PUB BAR FEELINGS,Cafe,5.0,6,Indore,0
Aapka Cafe & Restro,Cafe,5.0,238,Indore,0
Lootel Smart Restroom Cafe - Rajwara,Cafe,4.5,119,Indore,1
Selfieterea Cafe,Cafe,4.4,7,Indore,0
Shree Cafe,Cafe,4.1,1434,Indore,0
Deja Vu Cafe,Cafe,4.0,24,Indore,0
Lotus Hut Cafe,Cafe,4.2,3756,Indore,0
Eagle cafe saf 1s 78t batalion,Cafe,4.3,429,Indore,0
Piccolo Cafe,Cafe,4.7,1056,Indore,1
Joshi Dahi Bada House,Fast Food Restaurant,4.4,4927,Indore,0
PINKU'S,Coffee Shop,4.8,76,Indore,0
DAVE TEA STALL & HAVMOR ICE CREAM PARLOUR,Restaurant,4.5,157,Indore,0
SHREE SAWARIYA CANTEEN,Fast Food Restaurant,3.7,3,Indore,0
RJ Fitness,Gym,4.5,663,Indore,0
The Wellness gym,Gym,4.7,76,Indore,1
Power transform the gym,Gym,4.8,69,Indore,0
PARAG PHYSIQUE GYM,Gym,4.2,111,Indore,0
Well fit gym,Gym,4.7,108,Indore,1
Fit More Gym,Gym,4.9,34,Indore,0
The Fitness Club.,Gym,4.6,166,Indore,0
GYM G,Gym,4.5,43,Indore,0
Fuel Fitness Gym,Gym,4.8,650,Indore,1
UD Fitness,Gym,4.2,39,Indore,0
Pain For Achiever,Gym,5.0,11,Indore,0
Indore Gym,Gym,4.5,92,Indore,0
Rama fitness,Gym,4.9,117,Indore,1
Ultimate Desire Gym (UD Fitness),Gym,4.7,110,Indore,0
Neels Fitness Club,Gym,4.7,41,Indore,0
BODY GARAGE HUMAN SERVICE STATION,Gym,4.5,42,Indore,0
Hard Knocks The Gym,Gym,4.9,146,Indore,1
Devansh Fitness Club,Gym,5.0,65,Indore,0
Rajhans Dal Bafle,Indian Restaurant,4.4,2780,Indore,0
Second Kitchen,Indian Restaurant,4.6,600,Indore,1
Al karam Indore kitchen's and restaurants,Hyderabadi Restaurant,4.6,815,Indore,0
Prithvilok Bhojanalay,Indian Restaurant,4.1,986,Indore,0
Oh Indore Restaurant and cafe,Vegetarian Restaurant,4.7,396,Indore,0
New Bismillah hotel,Non Vegetarian Restaurant,4.1,258,Indore,0
Upadhyay chatpata restaurant,Family Restaurant,4.9,188,Indore,0
"Mr. Bhel Bhandari® (viral 440 volt bhel, jhatka bhel, best street food of INDORE)",Fast Food Restaurant,4.5,1317,Indore,0
Vijay Chaat House - Sarafa,Fast Food Restaurant,4.3,2230,Indore,1
Indore Kitchen,North Indian Restaurant,4.5,473,Indore,1
Vrindavan Foods,Restaurant,4.3,197,Indore,0
Bansiwala Family Restaurant,Vegetarian Restaurant,3.7,346,Indore,0
Arihant Dal Bati,Rajasthani Restaurant,4.2,272,Indore,0
Mehfil Pure Veg Restaurant,Vegetarian Restaurant,4.3,291,Indore,0
Shree Nakoda Bhojnalaya,Vegetarian Restaurant,4.4,1550,Indore,1
Mahadev Restaurant,Vegetarian Restaurant,4.0,870,Indore,0
Dawat Restaurant Indore,Restaurant,4.6,388,Indore,1
Jay Maa Bhavani Bhojanalay & Restaurant,Indian Restaurant,4.6,25,Indore,0
"Lal Balti Aloo Kachori, Rambag",Indian Takeaway,4.3,1992,Indore,0
FreshMeatBucket Non-Veg Store,Butcher Shop,4.8,173,Indore,1
Royal La-Flora The Taste of Indore Cafe And Restaurant,Restaurant,0.0,0,Indore,0
Mota Bhai Sandwich,Restaurant,5.0,8,Indore,0
Jay Ambe Everfresh & Fast Food,Fast Food Restaurant,4.5,99,Indore,0
"Jhannat Kachori, Agrawal Kachori",Restaurant,4.3,25,Indore,0
New Zayka Chikan Fry centre,Chicken Restaurant,4.2,21,Indore,0
Sanjay Motors,Car Repair And Maintenance Service,4.2,68,Indore,0
TVS - Sahu Gatiman Automobile Llp,Motorcycle Dealer,4.6,1251,Indore,1
GoMechanic - Indore Car Service,Auto Repair Shop,3.6,35,Indore,1
