Name,Category,Rating,Reviews,Location_Area,Has_Website
"Crown Cafe | Cafe in Tonk Phatak, Jaipur",Cafe,4.8,79,Jaipur,0
The Heist Cafe,Cafe,4.4,84,Jaipur,0
Owner's Cafe,Cafe,4.5,184,Jaipur,0
Cafe tea convo,Cafe,4.8,49,Jaipur,0
"Signature cafe- cabin cafe in Jaipur, Couples cafe",Cafe,4.6,365,Jaipur,0
The Socialite- family Restaurant,Cafe,4.0,2285,Jaipur,1
Coffee On Demand 2.0,Cafe,4.7,635,Jaipur,0
Cafe Quaint | Artisanal Sourdough Breads and Bakehouse,Cafe,4.3,1129,Jaipur,1
The Warehouse Cafe,Cafe,4.2,2061,Jaipur,0
Café Bae,Cafe,4.4,3709,Jaipur,0
Dip n bite - Tonk Phatak,Cafe,4.3,268,Jaipur,1
The Royal Fort Cafe,Fast Food Restaurant,4.2,77,Jaipur,0
Cafe on the Edge,Restaurant,4.8,23,Jaipur,0
Sparrow cafe,Cafe,4.8,18,Jaipur,0
Yes 99 Cafe,Cafe,3.8,1463,Jaipur,0
Tea saga,Cafe,4.1,441,Jaipur,1
AHUF Cafe & Restaurant,Restaurant,4.8,14,"Jaipur-I, Jaipur",1
Skyfall Restaurant,Restaurant,4.3,6537,Jaipur,1
MARHABA - A Multi-Cuisine Restaurant,Restaurant,4.3,36,Jaipur,0
Jaipur Modern - Store & Kitchen,Continental Restaurant,4.4,1598,Jaipur,1
Monarch Restaurant,Indian Restaurant,4.5,586,Jaipur,1
Vitthal's Kitchen Run By Deaf (Differently Abled) Heroes,Vegetarian Restaurant,4.7,2469,Jaipur,1
Krishna Restaurant,Restaurant,4.2,862,Jaipur,1
Gulabi Ketli,Cafe,4.3,1132,Jaipur,0
Doorbeen Restaurant,Fine Dining Restaurant,4.1,2684,Jaipur,0
Olympia,North Indian Restaurant,4.1,962,Jaipur,0
Peacock Restaurant,North Indian Restaurant,4.4,3597,Jaipur,1
Suvarna Mahal,North Indian Restaurant,4.7,3917,Jaipur,1
The Forresta Kitchen & Bar,Brewpub,4.2,5016,Jaipur,1
Burnfit gym | Best Gym In Jaipur,Gym,4.8,223,Jaipur,0
Body temple gym 1,Gym,4.8,700,Jaipur,0
Shape and size gym,Gym,5.0,15,Jaipur,0
Elite Fitness World,Gym,4.6,56,Jaipur,0
Fitness island gym (Lalkothi),Gym,4.8,149,Jaipur,0
"Workout Adda, Unisex Gym",Gym,4.4,102,Jaipur,0
AK FITNESS GYM,Gym,4.8,61,Jaipur,0
Prince Restaurant,North Indian Restaurant,4.0,972,Jaipur,0
Meena Veg Bhojnalaya And Thali House,Vegetarian Restaurant,4.5,119,Jaipur,0
Bhati Veg Bhojnalay,North Indian Restaurant,3.8,375,Jaipur,0
Triloki Bhojnalaya,Indian Restaurant,3.9,479,Jaipur,0
SBM BIG BITES,Restaurant,4.7,184,Jaipur,0
