Name,Category,Rating,Reviews,Location_Area,Has_Website
Sivasakthi Automobiles,Car Repair And Maintenance Service,3.9,76,"Kochi, Ernakulam",0
Kesava Auto Garage,Car Repair And Maintenance Service,4.8,236,Kochi,0
MG Medicals,Pharmacy,4.1,304,Ernakulam,0
Aster Pharmacy - Thoppumpady,Pharmacy,4.9,368,Kochi,1
Aster Pharmacy - Mattancherry,Pharmacy,4.9,643,Kochi,1
New Central Medicals,Pharmacy,4.9,38,"Kochi, Ernakulam",1
MedPlus Pandikudy,Pharmacy,4.4,31,Kochi,1
Aster Pharmacy - Providence,Pharmacy,4.9,529,"Kochi, Ernakulam",1
Sevana Medicals,Pharmacy,3.7,67,Ernakulam,0
Cake Hut Chullickal,Bakery,4.9,2183,Kochi,1
Relish Patisserie,Bakery,4.7,250,"Kochi, Ernakulam",1
Bharath Bakers Kochi,Bakery,4.9,16,Kochi,1
Cochin Bakers,Bakery,4.2,688,Kochi,1
The Oven - Marine Drive,Bakery,4.1,3030,Ernakulam,1
Cake Hut thoppumpadi,Bakery,4.8,2633,Kochi,1
Zera Noya - Dutch Bakery,Bakery,4.4,835,"Kochi, Ernakulam",1
Style Union - Thoppumpady,Clothing Store,4.8,761,Kochi,1
BOHEMIAN CLOTHING,Clothing Store,4.7,170,Kochi,1
Fashion Bug,Women'S Clothing Store,4.9,2850,"Kochi, Ernakulam",1
R&B Willingdon island,Clothing Store,4.9,189,Kochi,0
Seematti,Clothing Store,4.4,37014,Ernakulam,1
Nalli Silk Sarees - Kochi,Women'S Clothing Store,3.9,324,Local Region,0
UNIFORM ARTICLE,Clothing Store,3.8,24,Kochi,0
Los angeles Café Fort Kochi,Cafe,4.3,729,Kochi,0
Kashi Art Café,Cafe,4.2,11134,Kochi,0
Qissa Café,Cafe,4.2,2357,Kochi,1
East India Street Café,Cafe,4.3,900,Kochi,1
Pepper House,Art Center,4.3,1483,Kochi,0
Trouvaille,Cafe,4.6,1248,Kochi,1
Loafers Corner Cafe.,Cafe,4.3,2902,Kochi,1
Chez Teapot,Cafe,4.4,898,Kochi,1
Kochi Kapital Kafe,Cafe,4.7,1276,Kochi,1
Kalpa Café in Fort Kochi,Cafe,4.4,107,Kochi,1
Mocha Art Café,Cafe,4.5,1749,Kochi,1
Pandhal Cafe & Deli,Cafe,4.5,6797,Kochi,1
Kerala Cafe Fort Kochi,Restaurant,4.4,1795,Kochi,1
Café Bridge Inn,Cafe,4.1,135,Kochi,0
Solar Café,Cafe,4.4,109,Kochi,0
The Grand Upstairs,Cafe,4.6,157,Kochi,1
Lila - Curated Experiences,Cafe,4.2,1259,Kochi,1
French Toast Fort Kochi,Restaurant,4.4,890,Kochi,0
Ayushveda Spa- Ayurveda Massage centre,Massage Spa,4.9,2780,Kochi,1
Ayur Sana wellness center,Ayurvedic Clinic,4.9,467,Kochi,1
Ayurveda Sanctum,Massage Spa,4.9,1338,Kochi,1
"Protone Day Spa, MG Road",Day Spa,4.9,473,"Kochi, Ernakulam",1
Santata Spa,Spa,4.7,56,"Kochi, Ernakulam",1
"Protone Day Spa, Thoppumpady",Spa,4.9,82,Kochi,1
"Armoury Cafe, Brunton Boatyard",Continental Restaurant,4.1,123,Kochi,1
Fort House Restaurant,Restaurant,4.7,328,Kochi,1
Rice Boat,Seafood Restaurant,4.6,875,Kochi,1
Rasoi Fort Kochi,North Indian Restaurant,4.4,1974,Kochi,1
Seagull,Seafood Restaurant,4.3,11335,Kochi,1
