Name,Category,Rating,Reviews,Location_Area,Has_Website
Kilkhana Medical Store,Pharmacy,4.7,30,"Maheshtala, Kolkata",0
KOLKATA PHARMACY,Pharmacy,4.7,6,Kolkata,0
ZAID MEDICAL STORE,Pharmacy,5.0,1,Kolkata,0
Zeeshan Medical Hall,Pharmacy,3.6,7,Kolkata,0
Neha Medical Stores,Pharmacy,4.5,8,Kolkata,0
Saharogya Pharmacy,Pharmacy,4.9,203,Kolkata,0
Metro Pharma,Pharmacy,4.7,1015,Kolkata,1
Apollo Pharmacy Bentinck St,Pharmacy,3.7,93,Kolkata,1
Kanhaiya Life Care Medicine,Pharmacy,4.8,953,Kolkata,1
Neu Plaza Medico,Pharmacy,5.0,1,Kolkata,0
JILANI GARAGE,Car Repair And Maintenance Service,4.3,4,Kolkata,0
Castrol Bike Point - Jahangir Automobiles,Motorcycle Repair Shop,4.5,6,Kolkata,1
Sandip Medical Stores,Pharmacy,0.0,0,Kolkata,0
MATIABRUZ MEDICAL STORES,Pharmacy,4.4,33,Kolkata,0
G.R.Medical Stores,Pharmacy,0.0,0,Kolkata,0
GoMechanic - Car Mechanic Kolkata,Auto Repair Shop,3.8,15,Kolkata,1
GoMechanic - Car Bumper Repairing Workshop,Auto Repair Shop,5.0,2,Kolkata,1
Moti Confectionery Pvt. Ltd.,Bakery,4.3,281,Kolkata,1
Flurys,Bakery,4.2,13505,Kolkata,1
Cocoa Bakery,Bakery,4.3,1589,Kolkata,0
Saldanha Bakery,Bakery,4.5,1636,Kolkata,1
Nahoum & Sons (Private) LTD. Confectioners,Bakery,4.3,4990,Kolkata,0
Kookie Jar,Bakery,4.4,1952,Kolkata,0
Kolkata Bakery & Food Corner,Bakery,4.8,77,Kolkata,0
Little Pleasures Patisserie & Cafe,Bakery,4.2,384,Kolkata,1
Lets Bakez your cake (Home Made),Bakery,4.9,145,Kolkata,1
Monginis Cake Shop,Cake Shop,4.4,58,Kolkata,1
Caké Diem - Home Bakery in Kolkata,Bakery,4.9,61,Kolkata,0
Cakes and Bakes,Bakery,4.7,710,Kolkata,1
Castrol Auto Service - Lansdowne Automobile,Car Repair And Maintenance Service,4.1,281,Kolkata,1
GBH Auto Mechanics & Services LLP,Car Repair And Maintenance Service,4.2,131,Kolkata,0
Calcutta Motors,Car Repair And Maintenance Service,4.8,23,Kolkata,0
CAR KRAFT (CAR PARTS AND ACCESSORIES)servicing and repairs,Car Repair And Maintenance Service,4.6,11,Kolkata,0
SAHUD FASHION - Sherwani in Kolkata | Indo western In Kolkata | Men's Kurta in Kolkata | Lehenga in Kolkata,Clothing Store,5.0,16,Kolkata,0
"Zudio - Rajabagan, Kolkata",Clothing Store,4.3,190,Kolkata,1
Loli Poli Dresses (P) Ltd.,Children'S Clothing Store,4.2,173,Kolkata,1
Y Tulsi Garments,Clothing Store,5.0,33,Kolkata,1
M Bali dresses,Clothing Store,4.5,21,Kolkata,0
K.Gani Dresses,Clothing Store,4.4,38,Kolkata,0
Katarfashion,Clothing Store,4.8,11,Kolkata,0
A.REGAL. KOLKATA,Clothing Store,4.6,11,Kolkata,0
JB GARMENTS,Clothing Store,4.7,64,Kolkata,1
N. Rani Dresses,Clothing Store,4.2,26,Kolkata,0
Family fashion Kolkata,Clothing Store,4.8,5,Kolkata,0
Swim Sea Girls Wear,Clothing Store,4.9,21,Kolkata,0
Pari Dresses,Clothing Store,4.4,17,Kolkata,0
Rm Sahi Enterprise,Clothing Store,4.6,33,Kolkata,0
D.H.M.Nagpur Gaddi Moti Hat 1st Floar 137,Clothing Store,4.0,116,Kolkata,0
S.MAX COLLECTION,Clothing Store,5.0,10,Kolkata,0
A.Mango Ladieswear,Clothing Store,5.0,6,Kolkata,0
Sahud Fashion,Men'S Clothing Store,5.0,17,Kolkata,0
HIND GARAGE,Car Repair And Maintenance Service,4.8,50,Kolkata,0
New Kochi Automobile,Car Repair And Maintenance Service,4.8,20,Kolkata,0
Austin Car Service Wale - Best Multi Brand Car Repair Service in Kolkata,Car Repair And Maintenance Service,4.4,28,Kolkata,1
GoMechanic - Kolkata Car Repair Center,Auto Repair Shop,3.0,8,Kolkata,1
Counting Car Service || car repair and maintenance service in kolkata,Car Repair And Maintenance Service,4.9,21,Kolkata,1
MechaClick - Car Repair And Service,Auto Repair Shop,4.6,11,Kolkata,1
Excellerate Motors,Car Repair And Maintenance Service,4.8,69,Kolkata,1
