Name,Category,Rating,Reviews,Location_Area,Has_Website
Click Your Med - Medicine Home Delivery in Lucknow,Pharmacy,4.9,118,Lucknow,1
METRO PHARMACY—best pharmacy,Pharmacy,4.8,24,Lucknow,0
N Pharmacy,Pharmacy,5.0,19,Lucknow,0
Zeelab Pharmacy - Gole Market,Pharmacy,5.0,23,Lucknow,1
GoMechanic - Car Workshop Lucknow,Auto Repair Shop,4.8,99,Lucknow,0
GoMechanic - Car Repair Lucknow,Auto Repair Shop,4.6,116,Lucknow,0
The Body Spa,Spa,4.8,1574,Lucknow,1
"Layers Patisserie - Custom Cakes & Bakery | Birthday, Wedding & Anniversary Cakes | Lucknow",Bakery,4.9,37,Lucknow,0
"Mr. Brown Bakery (Magnum Plaza, Gomti Nagar)",Bakery,4.3,2845,Lucknow,1
Danbro By Mr. Brown | Sapru Marg,Bakery,4.3,4061,Lucknow,1
Mouth Wide Shut | The Cake Shop,Bakery,4.4,416,Lucknow,1
Coffee & Cakes,Bakery,4.1,24,Lucknow,1
Walnut World Bakery,Bakery,4.2,2501,Lucknow,1
Macaron Patisserie,Patisserie,4.1,346,Lucknow,1
Good Bakery Store & Coffeeshop,Bakery,4.2,6383,Lucknow,1
IamGroot.in,Bakery,2.5,44,Lucknow,0
Awadh -ए- Chikan,Clothing Store,5.0,18,Lucknow,1
TRENDS,Clothing Store,4.6,139,Lucknow,1
Nayaab Lakhnawi Chikan,Clothing Store,4.2,38,Lucknow,0
Ada Designer Chikan Studio,Designer Clothing Store,4.8,11089,Lucknow,1
Amar Palace Chikan Hazratganj,Designer Clothing Store,4.4,10252,Lucknow,0
Titli Fancy Wear - Kids Wear | Women Western Wear | Infants Clothes / Men wear,Clothing Store,4.4,965,Lucknow,1
Max,Clothing Store,4.2,2525,Lucknow,1
Kora by NM - Lucknow,Men'S Clothing Store,4.9,1674,Lucknow,1
The Gamechi Cafe,Cafe,4.6,40,Lucknow,0
"Masha's cafe & restaurant, Lucknow",Cafe,4.5,27,Lucknow,1
Café Tea Amo,Coffee Shop,4.9,66,Lucknow,1
The Ancestry - A Cafe and Eatery,Cafe,4.5,225,Lucknow,0
9191 Cafe & Lounge,Cafe,4.2,102,Lucknow,0
Galaxy cafe,Cafe,5.0,7,Lucknow,0
The Hazelnut Factory - Cafe in Lucknow,Cafe,4.3,7148,Lucknow,1
The Cherry Tree Cafe,Cafe,4.4,8413,Lucknow,0
Crown Cafe,Restaurant,4.2,81,Lucknow,0
Turkish Cafe & Food Junction,Restaurant,4.8,388,Lucknow,0
Royal Cafe(Hazratganj),Cafe,4.2,17384,Lucknow,1
Moon Cafe,Cafe,4.6,12,Lucknow,0
