Name,Category,Rating,Reviews,Location_Area,Has_Website
Bhullar Medical Hall,Pharmacy,4.3,11,Ludhiana,0
B N H Drug Store,Pharmacy,4.7,75,Ludhiana,1
Popli Medical Hall- Best Chemist Shop In Ludhiana,Pharmacy,4.5,95,Ludhiana,1
"Jain Remedies - Pharmacy, Medical Store, Buy Medicines Online, Fastag, Money Transfer, Insurance, Blood Test",Pharmacy,5.0,25,Ludhiana,1
Jeewan Drug Store,Pharmacy,4.7,17,Ludhiana,0
Life Line Pharmacy - Best Pharmacy & Medicine Shop Retailers In Ludhiana/Best Chemist Store In Ludhiana,Pharmacy,4.8,43,Ludhiana,0
Sehgal pharmacy,Pharmacy,5.0,22,Ludhiana,0
Jain Medical Agencies,Pharmacy,4.6,11,Ludhiana,0
Payal Pharmacy,Pharmacy,3.1,58,Ludhiana,0
Paras Medicos,Pharmacy,4.6,21,Ludhiana,0
Lucky Medicos,Pharmacy,4.8,63,Ludhiana,1
First Aid Pharmacy,Pharmacy,5.0,346,Ludhiana,0
RT Drug Store (all medicines with wholesale prices,Pharmacy,4.0,3,Ludhiana,0
Friends Medical Hall,Pharmacy,4.4,60,Ludhiana,0
Apollo Pharmacy BRS Nagar,Pharmacy,4.5,38,Ludhiana,1
Guru Kirpa Medical Hall,Pharmacy,4.7,13,Ludhiana,0
Royal Medicos,Pharmacy,5.0,198,Ludhiana,0
Happy Medical Store,Pharmacy,4.8,4,Ludhiana,0
VK Motors car wash denting painting,Car Repair And Maintenance Service,3.9,29,Ludhiana,0
Car Service centre In Ludhiana,Auto Repair Shop,5.0,1,Ludhiana,0
LUDHIANA MOTORS,Car Repair And Maintenance Service,4.3,96,Ludhiana,0
Brothers car washing,Car Repair And Maintenance Service,4.2,9,Ludhiana,0
R. K. Motors(all car repair & denting painting ),Car Repair And Maintenance Service,4.6,62,Ludhiana,0
𝗠𝗘𝗘 𝗕𝗔𝗞𝗘𝗥𝗦-Cake/Flowers Delivery/Bread/Hampers/Bakery Shop in Rishi Nagar Ludhiana,Bakery,4.8,163,Ludhiana,0
Bhavika Baker's,Bakery,4.9,54,Ludhiana,1
Nikhil Baker's-Best Bakery And Cake Shop (Cake delivery service in ludhiana),Bakery,4.8,829,Ludhiana,1
Bake Inn Bakery,Bakery,4.6,198,Ludhiana,1
"Theobroma Bakery and Cake Shop - Kipps Market, Ludhiana",Bakery,4.9,985,Ludhiana,1
Bille Di Hatti Bakers & Confectioners,Bakery,4.5,454,Ludhiana,0
"Belfrance Cafe - Bakers , Chocolatiers & Restaurant",Bakery,4.6,858,Ludhiana,1
Sindhi Bakery,Bakery,4.3,1901,Ludhiana,0
Palji bakery,Bakery,4.4,1351,Ludhiana,1
"Hot Breads Cake Shop, Bakery & Restaurant",Bakery,4.4,718,Ludhiana,1
NIK BAKER'S,Bakery,4.2,1041,Ludhiana,1
DUGGAL BAKER'S _BEST BAKERY AND CAKE SHOP IN MODEL TOWN LUDHIANA (ONLINE CAKE DELIVERY SERVICE),Bakery,5.0,426,Ludhiana,0
The Cake Shoppe,Bakery,4.1,1356,Ludhiana,1
Bon Gateau Bakery and Cafe,Bakery,4.3,881,Ludhiana,1
Luxury Aroma Spa - Best Jacuzzi Spa Centre in Ludhiana,Massage Spa,4.6,55,Ludhiana,1
The City Spa - Best Spa Centre In Ludhiana,Massage Spa,4.8,452,Ludhiana,1
Feel good spa center,Massage Spa,4.8,809,Ludhiana,1
Blue Moon Spa in Ludhiana,Massage Spa,4.3,208,Ludhiana,0
King Spa,Massage Spa,4.9,598,Ludhiana,1
Elision Day Spa,Massage Spa,4.5,132,Ludhiana,1
Signature spa ludhiana,Massage Spa,4.9,400,Ludhiana,1
The Peaceful Spa,Spa,4.8,127,Ludhiana,0
Anaaya Spa & Salon,Massage Spa,4.9,29,Ludhiana,1
Red Coral Spa,Massage Spa,4.9,1201,Ludhiana,1
Royal Spa & Salon,Massage Spa,4.8,67,Ludhiana,1
Candlelight luxury spa unisex,Massage Spa,4.8,62,Ludhiana,1
Spa Nation (Pavilion Mall – Ludhiana),Spa,4.3,100,Ludhiana,0
PEACE RAIN SPA [PREMIUM SPA],Massage Spa,4.4,160,Ludhiana,1
Yougal Sons Ludhiana - Best Clothing Store,Clothing Store,4.8,553,Ludhiana,1
MaMa's Hand,Clothing Store,4.4,14,Ludhiana,0
lifestyle garment wadi haibowal,Clothing Store,4.3,17,Ludhiana,0
Mad Look,Clothing Store,4.4,65,Ludhiana,0
"Fashion A Feet - Fashion Store In Ludhiana, Mens Fashion, Complete Fashion Store In Ludhiana",Clothing Store,5.0,189,Ludhiana,0
Batra Plaza_ Best Bridal Clothing Showroom In Ludhiana | Lehengas Shop in Ludhiana,Women'S Clothing Store,4.1,549,Ludhiana,1
