Name,Category,Rating,Reviews,Location_Area,Has_Website
TERMERICA,Bar & Grill,4.6,1113,Sahibzada Ajit Singh Nagar,0
Sartaj Restaurant & Bar,North Indian Restaurant,4.6,632,Sahibzada Ajit Singh Nagar,1
"Hridayum Cafe Diner, Mohali",Restaurant,5.0,66,Sahibzada Ajit Singh Nagar,1
Taste of amritsar mohali - Best Amritsari Kulcha in Mohali,Restaurant,4.5,951,Sahibzada Ajit Singh Nagar,0
Kalsang Cafe and Restaurant (Mohali),Chinese Restaurant,4.6,5191,Sahibzada Ajit Singh Nagar,1
Full Tull,Restaurant,4.8,157,Sahibzada Ajit Singh Nagar,0
Garam Dharam Mohali,Punjabi Restaurant,3.9,2751,Sahibzada Ajit Singh Nagar,1
Punjabi Chulla,Punjabi Restaurant,4.3,317,Sahibzada Ajit Singh Nagar,1
Swagath Restaurant & Bar Mohali,South Indian Restaurant,4.7,1006,Sahibzada Ajit Singh Nagar,0
Eden garden(Best Rooftop in Mohali),Restaurant,4.8,70,Sahibzada Ajit Singh Nagar,0
La Forma : Multi Cuisine Restaurant,Restaurant,4.9,48,Sahibzada Ajit Singh Nagar,1
RUTBA - Lounge & Cafe - Mohali,Restaurant,4.6,199,Sahibzada Ajit Singh Nagar,0
Amritsari Kulcha King - Best Amritsari Kulcha in Mohali Chandigarh,Restaurant,4.5,166,Sahibzada Ajit Singh Nagar,0
Kake Di Hatti Mohali,North Indian Restaurant,4.4,483,Sahibzada Ajit Singh Nagar,1
Ludo and Latte,Restaurant,4.6,468,Sahibzada Ajit Singh Nagar,0
Chawlas 2 - Best Restaurant,Indian Restaurant,4.2,468,Sahibzada Ajit Singh Nagar,1
Mezbaan By Hawks Hospitality Pvt. Ltd. (Mohali),Biryani Restaurant,4.5,75,Sahibzada Ajit Singh Nagar,0
Plateplay - Best Pan Asian Restaurant in Mohali | Best Sushi & Dimsums in Mohali | Best Burgers & Woodfire Pizza in Mohali,Asian Restaurant,4.7,767,Sahibzada Ajit Singh Nagar,1
Love's Bite - (Serve With Love) 24x7 Open Café I Restaurant,Restaurant,4.7,174,Sahibzada Ajit Singh Nagar,1
Bakers Attic,Cafe,4.8,232,Sahibzada Ajit Singh Nagar,1
BREWMENTS,Coffee Shop,4.9,23,Sahibzada Ajit Singh Nagar,1
Waycup Cafe | Mohali,Cafe,4.5,939,Sahibzada Ajit Singh Nagar,1
Cafe Greko Reserve Mohali,Cafe,4.8,460,Sahibzada Ajit Singh Nagar,1
The Chocolate Room Mohali,Cafe,4.3,1537,Sahibzada Ajit Singh Nagar,1
Blue Tokai Coffee Roasters Origins | HLP Gallerria Mohali,Coffee Shop,4.7,281,Sahibzada Ajit Singh Nagar,1
Nothing Before Coffee - Mohali,Coffee Shop,4.9,230,Sahibzada Ajit Singh Nagar,1
Day Night Café,Cafe,4.9,118,Sahibzada Ajit Singh Nagar,0
"Tan Coffee | Mohali, Punjab",Restaurant,4.7,269,Sahibzada Ajit Singh Nagar,1
Tea Steam cafe,Cafe,4.6,597,Sahibzada Ajit Singh Nagar,1
BEANS N BROOKS CAFE,Cafe,4.3,933,Sahibzada Ajit Singh Nagar,0
Coffee and Bagels | Cafe and Coffee Shop in Mohali,Cafe,4.4,398,Sahibzada Ajit Singh Nagar,0
Blue Tokai Coffee Roasters | Mohali,Cafe,4.7,1073,Sahibzada Ajit Singh Nagar,1
Caterspoint | Mohali,Health Food Restaurant,3.2,65,Sahibzada Ajit Singh Nagar,1
Barista - TDI Connaught Plaza,Coffee Shop,4.3,315,Sahibzada Ajit Singh Nagar,1
Pyramid Mohali,Cafe,4.1,1167,Sahibzada Ajit Singh Nagar,0
Dana Paani TDI Original,Restaurant,4.7,1526,Sahibzada Ajit Singh Nagar,0
Maharaja Restaurant & Bar Mohali,Modern Indian Restaurant,5.0,5,Sahibzada Ajit Singh Nagar,0
AWADH RESTAURANT,North Indian Restaurant,3.7,450,Sahibzada Ajit Singh Nagar,0
Boston & Co,New American Restaurant,4.3,343,Sahibzada Ajit Singh Nagar,0
Chowk Dilli 6,North Indian Restaurant,5.0,46,Sahibzada Ajit Singh Nagar,1
Bikanervala | Sahibzada Ajit Singh Nagar Punjab,Family Restaurant,4.2,2626,Sahibzada Ajit Singh Nagar,1
Taste da Adda,Restaurant,3.9,81,Sahibzada Ajit Singh Nagar,0
Chennai Maratha TDI,South Indian Restaurant,5.0,23,Sahibzada Ajit Singh Nagar,1
Buffet Hut Kharar,Buffet Restaurant,3.5,109,Sahibzada Ajit Singh Nagar,0
Dum Noorani,Biryani Restaurant,4.2,229,Sahibzada Ajit Singh Nagar,0
woodstone caffe & Restaurant,Restaurant,5.0,62,Sahibzada Ajit Singh Nagar,0
Xstreem Microbrewery & Lounge,Brewpub,4.2,209,Sahibzada Ajit Singh Nagar,0
Allimento Open Air Kitchen,Restaurant,3.8,368,Sahibzada Ajit Singh Nagar,0
Barbeque Point,Barbecue Restaurant,4.9,37,Sahibzada Ajit Singh Nagar,0
Delhi Gali,North Indian Restaurant,3.8,21,Sahibzada Ajit Singh Nagar,0
Frummy Foods,Food Manufacturer,4.7,108,Sahibzada Ajit Singh Nagar,1
DOOF - The Street Culinary,Fast Food Restaurant,4.9,40,Sahibzada Ajit Singh Nagar,0
D' COZY LAP CAFE,Restaurant,5.0,8,Sahibzada Ajit Singh Nagar,0
Hardyz Burger Mohali,Hamburger Restaurant,4.2,100,Sahibzada Ajit Singh Nagar,0
TDI Connaught Plaza,Restaurant,4.4,187,Sahibzada Ajit Singh Nagar,0
Jalandhar sweets,Indian Restaurant,2.9,14,Sahibzada Ajit Singh Nagar,0
Mithila Restaurant,Restaurant,4.8,177,Sahibzada Ajit Singh Nagar,1
Apna Bazaar Supermarket Sec-117,Indian Restaurant,5.0,2,Sahibzada Ajit Singh Nagar,0
Foody lovers,Family Restaurant,0.0,0,Sahibzada Ajit Singh Nagar,0
Banjara Rasoda,Restaurant,5.0,21,Sahibzada Ajit Singh Nagar,1
Neet N Eat,Restaurant,5.0,4,Sahibzada Ajit Singh Nagar,0
CHINI TALKEEZ,Chinese Restaurant,3.5,6,Sahibzada Ajit Singh Nagar,0
"Domino's Pizza | Sector 74A, Mohali",Pizza Restaurant,3.0,227,Sahibzada Ajit Singh Nagar,1
Cafe 88,Fast Food Restaurant,3.9,22,Sahibzada Ajit Singh Nagar,0
