Name,Category,Rating,Reviews,Location_Area,Has_Website
Zeno Health Pharmacy,Pharmacy,4.9,358,Mumbai,1
"Wellness Forever Pharmacy - Four Bungalows, Andheri",Pharmacy,3.1,159,Mumbai,1
AAIJI CHEMIST & DRUGIST MADH,Pharmacy,4.8,5,Mumbai,0
Shifa Medico & General Store,Pharmacy,4.4,67,Mumbai,0
Asian Chemists,Pharmacy,4.7,89,Mumbai,1
Shree Satyavinayak Chemist,Pharmacy,5.0,11,Mumbai,0
Health & Wellness Medical Store,Pharmacy,4.7,622,Mumbai,0
New Empire Chemists,Pharmacy,4.2,85,Mumbai,1
Health Guard Medico & Supermarket,Pharmacy,4.2,213,Mumbai,0
Lifecure Pharmacy Medical And General Stores,Pharmacy,4.5,26,Mumbai,0
Mumbai Hospital Chemist,Pharmacy,4.0,22,Mumbai,0
Wellness Forever Pharmacy - Goregaon West,Pharmacy,4.6,115,Mumbai,1
"Wellness Forever Pharmacy - Marol Naka, Andheri E",Pharmacy,3.9,90,Mumbai,1
"Zeno Health Pharmacy - SV Road, Goregaon West.",Pharmacy,4.9,422,Mumbai,1
Ocean Pharmacy,Pharmacy,5.0,340,Mumbai,0
new royal chemist and surgical,Pharmacy,3.8,42,Mumbai,0
United Medical & General Store,Pharmacy,4.4,32,Mumbai,0
"Zeno Health Pharmacy - Hari Market, Khar West.",Pharmacy,4.8,163,Mumbai,1
MUMBAI CHEMIST,Pharmacy,5.0,2,Mumbai,0
Bombay Baking Company,Bakery,4.5,233,Mumbai,1
The Cakesmith,Bakery,4.8,596,Mumbai,0
The Boston Cafe & Patisserie,Cupcake Shop,4.2,1298,Mumbai,1
"Theobroma Bakery and Cake Shop - Lokhandwala, Mumbai",Bakery,4.3,1678,Mumbai,1
"Theobroma Bakery and Cake Shop - Colaba, Mumbai",Bakery,4.4,4178,Mumbai,1
Yazdani Restaurant & Bakery,Bakery,4.2,2533,Mumbai,0
Fresco Bakery,Bakery,4.4,801,Mumbai,1
Toujours,Bakery,4.8,322,Mumbai,1
Vienna Bakery,Bakery,4.4,2377,Mumbai,0
Ellipsis Bakery,Bakery,4.0,138,Mumbai,1
"Theobroma Bakery and Cake Shop - Pali Hill, Mumbai",Bakery,4.3,2819,Mumbai,1
Miss Baker Mamta,Bakery,4.9,331,Mumbai,1
TwentySeven Bakehouse,Bakery,4.4,262,Mumbai,0
J Hearsch & Co.,Bakery,4.3,11235,Mumbai,0
Bombay Bake House,Bakery,5.0,49,Mumbai,1
The Rolling Pin in Quattro,Bakery,4.3,3354,Mumbai,1
Elementaria Bakery Cafe,Bakery,4.2,868,Mumbai,0
DALE’S EDEN,Bakery,4.1,692,Mumbai,1
Masa Bakery Juhu,Bakery,4.1,265,Mumbai,1
"Big Top auto garage - Car servicing, Repair & Detailing | Luxury car Servicing",Car Repair And Maintenance Service,4.8,189,Mumbai,1
Car Clinic,Car Repair And Maintenance Service,4.8,40,Mumbai,1
BM Auto Garage,Car Repair And Maintenance Service,4.4,275,Mumbai,0
Sahara Motors,Car Repair And Maintenance Service,4.5,48,Mumbai,0
GoMechanic - Adarsh Motor,Auto Repair Shop,4.1,330,Mumbai,1
HSM Auto Garage,Car Repair And Maintenance Service,4.9,479,Mumbai,1
R. K. Auto Services,Car Repair And Maintenance Service,5.0,44,Mumbai,0
MYRAH - Juhu,Day Spa,4.8,1663,Mumbai,1
Sohum Spa and Wellness Sanctuary | Juhu,Day Spa,4.7,707,Mumbai,1
Urban Luxury Spa In Juhu,Massage Spa,4.8,312,Mumbai,1
Lubss Spa Luxuries Juhu,Spa,4.7,741,Mumbai,1
Tattva Wellness Spa,Spa,4.8,645,Mumbai,1
Taj Luxury Spa,Spa And Health Club,4.9,75,Mumbai,1
Royal Spa In Goregaon West | Thai Massage | Deep Tissue Massage | Dry Massage | Jacuzzi | Hammam,Spa,5.0,598,Mumbai,1
Muktaa Wellness in Goregaon,Spa,4.9,1144,Mumbai,1
Moon Spa - Massage Spa in Andheri West,Spa,4.9,281,Mumbai,1
Richy Salon and Spa - Best Spa In Mumbai Central,Spa,4.9,463,Mumbai,1
Muktaa Wellness in Marine Drive,Spa,4.9,2798,Mumbai,1
Meghavi Wellness Spa | Novotel Mumbai Juhu Beach,Day Spa,4.7,314,Mumbai,0
Nature Thai Spa - Best Massage Spa in South Mumbai,Massage Spa,4.8,547,Mumbai,1
Nature Wellness Spa Lower Parel - Massage Spa in South Mumbai,Massage Spa,4.9,615,Mumbai,1
Royal Spa Andheri,Spa And Health Club,4.9,775,Mumbai,1
Creative Wellness Spa,Massage Spa,4.8,196,Mumbai,0
Artham Luxury Spa,Spa,4.8,39,Mumbai,1
La Bella Spa - Best Spa in Marine Lines Churchgate,Massage Spa,4.9,555,Mumbai,1
KALKI Flagship Store Santacruz,Bridal Shop,4.5,6054,Mumbai,1
"AND - Linking Road, Mumbai",Western Apparel Store,4.4,361,Mumbai,1
Simran - Women Clothing Store in Mumbai | Plus Size Women Clothes Shop in Mumbai | Best Indowestern | Best Salwar Suit,Clothing Store,4.6,207,Mumbai,1
"Global Desi - Linking Road, Khar",Women'S Clothing Store,4.4,182,Mumbai,1
Tirumala Shopping Centre,Clothing Store,4.1,5093,Mumbai,1
Family Clothing Store,Clothing Store,4.7,84,Mumbai,1
Nishly Fashion House,Women'S Clothing Store,4.3,317,Mumbai,1
NZO,Women'S Clothing Store,4.9,94,Mumbai,0
Vam fashion,Clothing Store,4.9,430,Mumbai,1
Fashion Junction,Clothing Store,4.7,90,Mumbai,1
Seasons,Women'S Clothing Store,4.0,3956,Mumbai,1
"Pantaloons (Infinity Mall, Andheri, Mumbai)",Clothing Store,4.0,444,Mumbai,1
Apparel Store,Clothing Store,4.0,111,Mumbai,0
Fashion House.,Clothing Store,4.4,85,Mumbai,1
Le Mill,Clothing Store,4.5,69,Mumbai,1
"Aza Fashions, Altamount Road, Mumbai.",Designer Clothing Store,4.7,828,Mumbai,1
AND - Infiniti Mall,Western Apparel Store,4.8,119,Mumbai,1
DC Mumbai - Lokhandwala,Clothing Store,4.8,995,Mumbai,1
Big Sizes Store Men's & Ladies plus size brand,Plus Size Clothing Store,4.3,120,Mumbai,1
Fashion Fever Forever,Clothing Store,4.3,390,Mumbai,0
Yauatcha Mumbai,Chinese Restaurant,4.5,9664,Mumbai,1
Trèsind Mumbai,Fine Dining Restaurant,4.7,4565,Mumbai,1
Namak,Hyderabadi Restaurant,4.7,1673,Mumbai,1
Masala Library by Jiggs Kalra,North Indian Restaurant,4.5,6153,Mumbai,1
The Earth Plate,Buffet Restaurant,4.4,1779,Mumbai,1
Tanatan Juhu - Kitchen & Bar,Punjabi Restaurant,4.4,5261,Mumbai,1
Peshwa Pavilion,Buffet Restaurant,4.6,2781,Mumbai,1
JYRAN - TANDOOR DINING & LOUNGE,Restaurant,4.7,2050,Mumbai,1
Ram Ashraya,South Indian Restaurant,4.4,34080,Mumbai,1
Butterfly High,Modern Indian Restaurant,4.3,5322,Mumbai,0
Indian Accent Mumbai,Indian Restaurant,4.6,2653,Mumbai,1
Saffron,North Indian Restaurant,4.8,860,Mumbai,1
O Pedro - BKC,Bar,4.5,6219,Mumbai,1
Bayroute Juhu,Middle Eastern Restaurant,4.5,3597,Mumbai,1
Celini,Italian Restaurant,4.6,1667,Mumbai,1
PONDICHÉRY CAFÉ - ALL-DAY DINING,Restaurant,4.5,2900,Mumbai,1
OUT OF THE BLUE,European Restaurant,4.3,2768,Mumbai,1
"Bayroute Maker Maxity, BKC",Middle Eastern Restaurant,4.4,2978,Mumbai,1
Avatara Mumbai,Vegetarian Restaurant,4.6,574,Mumbai,1
Jamavar - Indian Speciality Restaurant,Restaurant,4.7,1632,Mumbai,1
Lake View Cafe,Restaurant,4.7,8053,Mumbai,1
Saptami,Buffet Restaurant,4.8,1685,Mumbai,1
Lotus Cafe,Restaurant,4.6,1485,Mumbai,1
Hitchki,Indian Restaurant,4.3,9391,Mumbai,1
Nawab Saheb,North Indian Restaurant,4.7,3783,Mumbai,1
