Name,Category,Rating,Reviews,Location_Area,Has_Website
Bappa Medico,Pharmacy,5.0,82,Nagpur,0
"Wellness Forever Pharmacy - Ingole Bhavan, Chatrapati Square, Nagpur",Pharmacy,4.8,32,Nagpur,1
Apollo Pharmacy Khamla Road,Pharmacy,4.1,54,Nagpur,1
MedPlus Bidipeth,Pharmacy,5.0,1,Nagpur,1
MedPlus,Pharmacy,0.0,0,Nagpur,0
MY WISEGEM PHARMACY,Pharmacy,4.7,14,Nagpur,0
Apollo Pharmacy Vishwakarma Nagar Manewada,Pharmacy,4.5,16,Nagpur,1
S S Pharmacy,Pharmacy,4.5,2,Nagpur,0
MedPlus Shatabdi Square Beltarodi Road,Pharmacy,2.1,7,Nagpur,1
MedPlus Besa,Pharmacy,3.3,15,Nagpur,1
Medswala pharmacy,Pharmacy,3.8,6,Nagpur,1
Apollo Pharmacy Narendra Nagar,Pharmacy,3.6,31,Nagpur,1
Jayant Medical And General Stores,Pharmacy,4.0,43,Nagpur,0
MedPlus Amar Nagar Road Vinkar Colony,Pharmacy,5.0,1,Nagpur,1
Pankaj Medical & General Stores,Pharmacy,4.4,11,Nagpur,0
HealthPlus Pharmacy Khamla,Pharmacy,4.7,7,Nagpur,1
Medeal Generic Pharmacy,Pharmacy,4.9,14,Nagpur,1
GoMechanic - VS Car Care,Auto Repair Shop,4.1,221,Nagpur,1
Us pharmacy,Pharmacy,5.0,3,Nagpur,0
MedPlus Mahatma Gandhi Nagar,Pharmacy,3.8,16,Nagpur,1
Shree Datta Medical Stores,Pharmacy,3.2,5,Nagpur,0
Vaishali Medicals,Pharmacy,4.5,6,Nagpur,0
Castrol Service - Ccc Car Sweety,Car Repair And Maintenance Service,4.0,142,Nagpur,1
Genericart Medicine Store | Arogyam Swast Aushadhi Seva | Nagpur,Pharmacy,5.0,5,Nagpur,1
Medplus Pharmacy,Pharmacy,3.0,1,Nagpur,0
MedPlus Uday Nagar,Pharmacy,3.6,14,Nagpur,1
Medical And General Store,Pharmacy,5.0,3,Nagpur,0
Dhanshree Medical And General Stores,Pharmacy,3.5,2,Nagpur,0
SHRI GAJANAN MEDICAL,Pharmacy,0.0,0,Nagpur,0
Sunil Medical and General Store,Pharmacy,3.2,5,Nagpur,0
"Maa Narsai Pharma, Medical Store",Pharmacy,4.4,12,Nagpur,0
Gulmohar Medical,Pharmacy,3.3,3,Nagpur,0
Kamal Medicos,Pharmacy,3.6,8,Nagpur,0
Car-Link Automobiles,Car Repair And Maintenance Service,4.2,43,Nagpur,0
Nilesh Medical & General Stores,Pharmacy,4.1,14,Nagpur,0
Daantacha Dawakhana,Pharmacy,5.0,1,Nagpur,0
VAISHNAVI MEDICAL STORE,Pharmacy,3.7,7,Nagpur,0
Medplus,Pharmacy,0.0,0,Nagpur,0
Atharva Generic Medical Store,Pharmacy,5.0,30,Nagpur,0
Good Well Pharmacy,Pharmacy,5.0,10,Nagpur,0
white carbon automotive,Auto Spring Shop,4.5,44,Nagpur,0
FIX MY CAR,Car Repair And Maintenance Service,4.0,3,Nagpur,0
GoMechanic - Car Helpline Nagpur,Auto Repair Shop,2.7,3,Nagpur,1
Maruti Suzuki Authorised Service (Sagar Automobiles),Car Repair And Maintenance Service,4.3,55,Nagpur,0
A STAR SERVICE,Car Repair And Maintenance Service,3.8,36,Nagpur,0
Castrol Bike Point - Bike Point New Balaji Automobiles,Motorcycle Repair Shop,4.3,99,Nagpur,1
Shaurya Home Baker,Bakery,5.0,260,Nagpur,1
Home Made Baker's Point,Bakery,4.9,99,Nagpur,0
Bake house,Bakery,4.2,120,Nagpur,0
ETS - Every Thing Sweet,Bakery,5.0,157,Nagpur,0
Honeybuzz Cake & Cafe - Cake Delivery Shop,Cake Shop,4.6,251,Nagpur,0
Ajit Bakery,Bakery,3.9,1667,Nagpur,1
Whisk & Crumb Cake Baking Academy and Workshop,Bakery,4.9,109,Nagpur,1
Slice of Paradise by Diksha,Bakery,4.7,27,Nagpur,1
Prince Bakery,Bakery,4.0,101,Nagpur,0
Bento Cakery,Bakery,4.6,126,Nagpur,1
Cake cubes,Restaurant,4.8,47,Nagpur,1
Bakers Table Nagpur,Bakery,4.9,42,Nagpur,0
Baker's Delight,Bakery,5.0,14,Nagpur,1
Arya's Cake Shop,Bakery,4.1,98,Nagpur,0
Crescent Delightss,Bakery,4.6,32,Nagpur,0
Yogoda Baker's Point,Bakery,4.9,60,Nagpur,0
Chef's Bake shop,Bakery,4.9,37,Nagpur,0
Cakes at Tasty Delight,Cake Shop,4.5,87,Nagpur,0
Parth'sbakers,Bakery,5.0,3,Nagpur,0
The cake Villa,Bakery,4.6,11,Nagpur,0
Bake Your Cake (.byc) - Bakery Product Supplier | Cake Item Shop | Cake Decoration Supplier in Nagpur,Bakery,5.0,81,Nagpur,1
The Bread Bun bakers house,Bakery,4.4,37,"Nagpur440034, Nagpur",0
Namish Creations - Your Destination for Baking & Cooking Classes In Nagpur | Cake Making | Indian Cooking Recipes,Bakery,4.8,55,Nagpur,0
Geeta Cookery & Baking Classes,Bakery,4.9,102,Nagpur,1
Sharvil Celebration,Bakery,5.0,9,Nagpur,0
The Pink Berry,Bakery,4.7,190,Nagpur,1
Shankar Bakery,Cake Shop,4.4,9,Nagpur,0
Priya Bakers,Bakery,5.0,3,Nagpur,0
Mio foods,Bakery,4.6,12,Nagpur,0
Deepmala Bakers,Bakery,0.0,0,Nagpur,0
Bakers N Snackers Corner,Bakery,0.0,0,Nagpur,0
Cakes inn,Bakery,0.0,0,Nagpur,0
Sky Spa and Salon,Spa And Health Club,4.9,233,Nagpur,1
Spa Junction,Spa,4.8,212,Nagpur,1
LXRY Spa,Spa,4.8,95,Nagpur,1
SPA VILLA NAGPUR,Spa,4.7,1043,Nagpur,1
The Healthy Massage,Massage Therapist,5.0,138,Nagpur,0
Dew Drop Spa,Spa,4.9,90,Nagpur,0
Luxe Spa,Spa,4.8,870,Nagpur,0
Tulip Spa Nagpur,Spa,3.7,47,Nagpur,1
Oceanic Spa,Spa,4.6,273,Nagpur,1
Princess Day Night Spa,Spa,4.7,12,Nagpur,1
Ganga Spa Nagpur – Shruti Wellness,Spa,5.0,3,Nagpur,1
Orange Spa In Nagpur,Massage Spa,4.5,283,Nagpur,1
SPA VILLA WELLNESS,Spa,4.9,1090,Nagpur,1
