Name,Category,Rating,Reviews,Location_Area,Has_Website
The Dark Cafe & Restaurant,North Indian Restaurant,4.4,1297,Patna,0
Cafe Hideout,Family Restaurant,4.7,1492,Patna,0
Barista,Cafe,4.1,1392,Patna,1
Lighthouse Cafe,Bengali Restaurant,4.3,2356,Patna,1
Coconova Cafe,Cafe,4.9,34,Patna,0
Restro & Cafe De'Laila - 2,Cafe,4.8,69,Patna,0
Indian Summer Cafe,Cafe,4.1,3245,Patna,1
Foxtrot Cafe,Cafe,4.8,38,Patna,0
Infinity Cafe,Cafe,4.4,876,Patna,0
Pappu Chaiwalla Cafe & Restaurant,Cafe,3.9,1010,Patna,1
Unplugged Dineout,Cafe,4.4,376,Patna,0
The Fifth Avenue Bakery & Cafe,Bakery,4.2,353,Patna,0
Craft Coffee City Centre Mall Patna,Cafe,4.6,408,"Patna, panta",0
Purple Cafe,Restaurant,3.9,269,Patna,0
The Chocolate Room Cafe & Resturant,Cafe,4.1,592,Patna,1
Citrus Cafe by Lemon Tree,Restaurant,4.0,47,Patna,1
T Bar,Cafe,5.0,16,Patna,0
Satrangi Dostana Restaurant,North Indian Restaurant,4.7,184,Patna,0
Bollywood Treats,Cafe,4.1,2186,Patna,1
Foresto Paradise | Restaurant in Patna,Family Restaurant,4.2,12011,Patna,1
Bansi Vihar Restaurant,South Indian Restaurant,4.1,9725,Patna,0
Raj Rasoi,Family Restaurant,3.9,1727,Patna,1
"Pista House, Patna",Hyderabadi Restaurant,4.5,7477,Patna,1
Spice Court,Fine Dining Restaurant,4.4,450,Patna,1
Zaika Patna Ka Kitchen,Restaurant,4.4,1307,Patna,1
Rajdarbar family Restaurant,North Indian Restaurant,3.9,1346,Patna,0
Barkaas Patna,Biryani Restaurant,4.6,3520,Patna,1
AB's - Absolute Barbecues,Buffet Restaurant,4.2,5540,Patna,1
Fulltoss Restaurant,Indian Restaurant,4.9,47,Patna,0
Indian Tadka,Indian Restaurant,4.7,1190,Patna,1
Pirates Of Grill,Restaurant,4.2,908,Patna,1
Om Vihar Restaurant,Family Restaurant,3.9,763,Patna,0
Starbucks Coffee | Buddh Marg | Patna,Coffee Shop,4.7,1043,Patna,1
American Inn Cafe,Restaurant,4.3,306,Patna,0
KINGS CAFE,Restaurant,4.8,35,Patna,0
Dhaba Cafe & Lounge,Cafe,3.9,391,Patna,0
BnB Cafe,Cafe,4.6,45,Patna,0
Afraa,Indian Restaurant,4.3,1404,Patna,0
Positive cafe,Restaurant,4.5,13,Patna,0
Patna Cafe,Cafe,4.1,1397,Patna,0
Goluptious Longing For Savory SNACKS.,Cafe,4.6,96,Patna,0
The Soda Fountain & Milk Bar,South Indian Restaurant,3.6,1645,Patna,1
The Biryani Mall,Biryani Restaurant,3.8,11530,Patna,0
Hotel Gargee Grand | Best Hotel in Patna Bihar,Restaurant,4.1,7823,Patna,1
Fukrey cafe,Cafe,5.0,3,Patna,0
Hotel The Panache,Hotel,4.3,10129,Patna,1
Sukoonchai.com,Cafe,4.4,29,Patna,0
Barbeque Nation,Barbecue Restaurant,4.4,9784,Patna,1
The Delhi Story,Indian Restaurant,4.2,326,Patna,0
RQ BANQUET AND DINE,Banquet Hall,4.5,138,Patna,1
Ginger Patna,Restaurant,4.3,2416,Patna,1
Ganga Cyber Internet Cafe,Internet Cafe,4.6,28,Patna,0
GANDHALI RESTAURANT,North Indian Restaurant,4.0,86,Patna,1
Sanwara restaurant,Vegetarian Restaurant,3.9,667,Patna,0
Tea Junction,Cafe,2.1,39,Patna,1
BERCO'S,Chinese Restaurant,3.9,629,Patna,1
Burger King,Fast Food Restaurant,4.5,2759,Patna,1
Biryani king,Biryani Restaurant,4.5,457,Patna,1
Rasam & Swad Restaurant - Best Family Restaurants in Patna,South Indian Restaurant,3.8,84,Patna,0
Pind The Revolving Restaurant,Restaurant,3.7,44,Patna,0
Hangout Cafe,North Indian Restaurant,4.1,316,Patna,0
