Name,Category,Rating,Reviews,Location_Area,Has_Website
OM PRAKASH AUTO GARAGE REPAIRING CENTER,Car Repair And Maintenance Service,4.6,26,Surat,0
Insidecar Automations (Garage),Car Accessories Store,5.0,36,Surat,1
Kadari Auto Garej & Vayring,Car Repair And Maintenance Service,5.0,2,Surat,0
Castrol Bike Point - SV Auto,Motorcycle Repair Shop,4.0,1,Surat,1
My Auto,Car Repair And Maintenance Service,3.7,3,Surat,0
Capsule The Generic Pharmacy - Tadwadi Surat,Pharmacy,4.9,45,Surat,1
HEAVEN MEDICAL,Pharmacy,4.5,91,Surat,0
Sukun Medical Store,Pharmacy,5.0,10,Surat,0
Nilesh Medical Stores,Pharmacy,4.9,14,Surat,0
STOCK ALL PHARMACY,Pharmacy,5.0,1,"Charrshta, Surat",0
Raj Pharmacy,Pharmacy,4.5,2,Surat,0
ROYAL PHARMA | Homeopathic Medical Store,Homeopathic Pharmacy,4.9,10,Surat,0
Vijay Medical & General Store,Pharmacy,4.6,5,Surat,0
Sugam Medical Store,Pharmacy,4.5,2,Surat,1
Vijay Medical Store,Pharmacy,5.0,2,Surat,0
Pramukh Medical,Pharmacy,5.0,2,Surat,0
HONEST MEDICAL STORE,Pharmacy,5.0,1,Surat,0
Sejal Medical & General stores,Pharmacy,4.7,3,Surat,0
Apollo Pharmacy Adajan Surat,Pharmacy,3.1,96,Surat,1
Zeno Health -Trust me Pharmacy,Pharmacy,4.9,12,Surat,0
Janani Medical Store,Pharmacy,5.0,4,Surat,0
PARADISE PHARMACY,Pharmacy,0.0,0,Surat,0
N R Medical Store,Pharmacy,5.0,2,Surat,0
Sagar Medical & General Store,Pharmacy,4.0,4,Surat,1
Krishna Medical Store,Pharmacy,4.0,1,Surat,0
Harekrishna Medical Store,Pharmacy,0.0,0,Surat,0
Smed Pharmacy,Pharmacy,0.0,0,Surat,1
Piyush Medical Store,Pharmacy,3.5,6,Surat,0
SHREENATHJI MEDICAL,Pharmacy,5.0,1,Surat,0
Sirvi Medical & General Stores,Pharmacy,3.5,4,Surat,0
Mahalaxmi Medical Store,Pharmacy,0.0,0,Surat,0
Bahuchar Medical And Provision Store,Pharmacy,4.5,4,Surat,0
Om Medical & General Stores,Pharmacy,5.0,2,Surat,0
