Name,Category,Rating,Reviews,Location_Area,Has_Website
Curators Coffee,Coffee Shop,4.5,1201,Vadodara,1
Coffee Clan,Cafe,4.4,1652,Vadodara,0
Kaffa Coffee Roasters,Coffee Shop,4.4,402,Vadodara,0
Cafe Bistro,Cafe,4.2,1904,Vadodara,1
The Tulip Touch Café,Art Cafe,4.5,2023,Vadodara,0
Soul Brew Coffee,Cafe,4.1,1333,Vadodara,1
Lionize Restro Cafe,Cafe,4.6,400,Vadodara,1
"Nothing Before Coffee - Akota, Vadodara",Coffee Shop,4.7,746,Vadodara,1
Coffee Yard,Coffee Shop,4.1,1087,Vadodara,0
The Signature Brew,Cafe,4.1,1867,Vadodara,0
The Table at Splatter,Cafe,4.2,581,Vadodara,0
Cafe WorkBrew,Cafe,4.3,265,Vadodara,1
Charmant The Heritage Cafe,Vegetarian Cafe And Deli,4.3,1219,Vadodara,0
Pefeteria - Gujarat's 1st Pet Cafe,Cafe,4.5,1625,Vadodara,1
First & Last Sip Cafe,Cafe,4.7,105,Vadodara,0
Devi's Coffee Bar,Cafe,4.5,230,Vadodara,0
Tea Post - A Place to Talk,Cafe,4.3,841,Vadodara,1
Urban Brewery,Cafe,4.3,366,Vadodara,0
PM's TEA BAR,Cafe,5.0,587,Vadodara,0
Meet Me Cafe – Private Cabin Cafe in Vadodara,Cafe,4.3,91,Vadodara,1
Benne Cafe- Classic Bengaluru Cuisine.,South Indian Restaurant,4.4,160,Vadodara,0
Cafe Bengaluru Alkapuri | Taste of Karnataka | South Indian Food,South Indian Restaurant,3.6,1323,Vadodara,0
Tea Post - Akota,Cafe,4.1,3301,Vadodara,1
Princely Cafe,Art Cafe,4.9,16,Vadodara,0
BERRY QUE CAFE 2.0,Cafe,4.9,133,Vadodara,0
Dev's Cafe,Cafe,4.8,27,Vadodara,0
Fitoor,Restaurant,4.5,1466,Vadodara,0
Cheers Cafeteria,Cafe,4.9,39,Vadodara,0
OM SHIVAAY CAFE,Restaurant,4.5,187,Vadodara,0
The Morsel Restaurant,Cafe,4.3,3408,Vadodara,1
The House of Makeba - Veg Family Dining Restaurant in Vadodara,Vegetarian Restaurant,4.5,839,Vadodara,1
La Patisserie 20,Cafe,4.1,378,Vadodara,1
22nd Parallel,South Indian Restaurant,4.4,8070,Vadodara,1
ThatPlace,Italian Restaurant,4.1,1654,Vadodara,0
Retro Bistro : The Fine Multi Cuisine Restaurant ( Vadodara ),Fine Dining Restaurant,4.3,3072,Vadodara,1
M-cube Cyber Cafe,Internet Cafe,4.6,38,Vadodara,0
GayLord Restaurant,Fast Food Restaurant,4.0,2447,Vadodara,0
New Freezeland Baroda,Fast Food Restaurant,4.1,609,Vadodara,0
Hocco Kitchen (OP Road),Fast Food Restaurant,4.1,6535,Vadodara,1
Club Offshore cafe & restaurant,Cafe,4.2,880,Vadodara,0
Raghuvanshi Cafe,Cafe,4.4,50,Vadodara,0
Jassi De Parathe,Punjabi Restaurant,4.4,11733,Vadodara,1
Zeste - World Cuisine Restaurant,Continental Restaurant,4.0,295,Vadodara,1
BOHO BLUES,Cafe,3.7,78,Vadodara,0
New Speedy Cyber Cafe,Internet Cafe,3.8,91,Vadodara,0
Tea cuppa cafe,Cafe,4.8,5,Vadodara,0
EMPIRE ACE,Fast Food Restaurant,4.1,1651,Vadodara,0
Cafe For Friends,Cafe,4.7,3,Vadodara,0
Aesthetic cafe,Cafe,0.0,0,Vadodara,0
URBAN FITNESS - AKOTA,Gym,4.8,207,Vadodara,1
She Fitness,Gym,4.8,92,Vadodara,0
Fit x Freak Gym,Gym,4.7,162,Vadodara,0
LION'S GIMNASIO (by shiv fitness),Gym,4.8,993,Vadodara,0
URBAN FITNESS (Shreeji enterprise),Gym,4.7,81,Vadodara,0
Equinox Workout Zone,Gym,4.6,126,Vadodara,1
Harox Fitness Box,Gym,5.0,40,Vadodara,1
Feel Fitness Gymnessium,Gym,4.9,295,Vadodara,1
VOLCANIC GYM,Gym,4.8,54,Vadodara,0
PROBODYLINE FITNESS,Gym,4.6,47,Vadodara,0
Gladiator gym and fitness,Gym,4.8,274,Vadodara,1
Trakko Fit the Executive Gym,Gym,4.6,59,Vadodara,1
Mid City Gym,Gym,4.3,31,Vadodara,0
Vision Fitness,Gym,4.9,1348,Vadodara,1
Majid Gym,Gym,4.7,229,Vadodara,0
Vision Fitness - Diwalipura,Gym,4.8,10,Vadodara,1
"Dantalaya Cosmetic Dental Clinic & Implant Centre, Vadodara",Dental Clinic,4.8,1155,Vadodara,1
Dr Amish Mehta's Chandan Dental,Dental Clinic,4.7,362,Vadodara,1
The Tooth Clinic Baroda,Dental Clinic,4.9,548,Vadodara,1
Dr. Hada dental and orthodontic clinic,Dental Clinic,5.0,324,Vadodara,1
Vivaan Dental Care,Dental Clinic,4.7,1122,Vadodara,1
"Nisha Dental Orthodontic,Cosmetic & Implant centre",Dental Clinic,5.0,287,Vadodara,1
Dental Spa,Dental Clinic,4.9,249,Vadodara,1
Dr. Anuj Barolia | Dentist Alkapuri,Dental Clinic,4.9,46,Vadodara,1
Om Narayan Dental Clinic,Dental Clinic,5.0,28,Vadodara,1
CBS Multispeciality Dent Care Akota Vadodara,Dental Clinic,4.9,61,Vadodara,1
Akota Multispeciality Dental Clinic Maxillofacial Surgery and Implant centre,Dental Clinic,4.9,40,Vadodara,1
Dr. Nirav's Dental World & Implant Centre,Dental Clinic,4.9,44,Vadodara,1
ALLURE AND BEARD STUDIO,Beauty Salon,4.7,1298,Vadodara,0
Reflexions Unisex Salon - Since 2007!,Beauty Salon,4.6,815,Vadodara,1
Unique Hair And Beauty Salon,Hair Salon,4.9,137,Vadodara,0
Enrich Salon Vadodara Alkapuri,Beauty Salon,4.9,1458,Vadodara,1
A-One Hair & Beauty Studio,Hair Salon,4.2,1061,Vadodara,1
My Saloon,Hair Salon,4.8,91,Vadodara,0
Iconiea Salon,Beauty Salon,4.6,475,Vadodara,1
Colorz The House Of Salon & Spa I Best Salon in Vadodara I Unisex Salon in Vadodara I,Hairdresser,4.9,294,Vadodara,1
Frenyz Couture & Salon,Designer Clothing Store,4.9,685,Vadodara,1
Dr. Dhairyaa Shah Multispeciality Dental Clinic,Dentist,4.9,128,Vadodara,0
Advantara Dental & Cosmetic Clinic [Formerly Faces],Dental Clinic,4.9,33,Vadodara,1
Beauty Mantra Salon & Academy,Beauty Salon,4.4,212,Vadodara,0
Dr.PATEL DENTAL CLINIC & IMPLANT CENTER,Dentist,5.0,27,Vadodara,1
RiteBite Dental,Dentist,5.0,43,Vadodara,0
Shreeji Dental Clinic by Dr.chintan sheth,Dental Clinic,4.7,44,Vadodara,0
Pk dental clinic,Dental Clinic,5.0,151,Vadodara,1
Essentials Esthetics Dental Cosmetic Clinic - Dentist Vadodara/Cosmetic Clinic/Skin Clinic/Best Dental clinic Vadodara,Dental Clinic,5.0,43,Vadodara,0
Nisha Dental clinic,Dental Clinic,4.3,12,Vadodara,1
Ideal Unisex Hair Salon,Hair Salon,4.5,76,Vadodara,0
AME SPA & SALON,Massage Spa,4.8,405,Vadodara,1
Hair Craft Unisex Salon,Hair Salon,5.0,7,Vadodara,0
"""AMBRAI SPA AND SALON"" BEST SPA IN VADODARA 100% RELAXING",Day Spa,4.8,140,Vadodara,1
Dental Solutions,Dentist,5.0,6,Vadodara,0
Dr Ashish Doshi's Clinic,Dentist,5.0,1,Vadodara,0
Alkapuri's Baroda Barber Unisex Salon,Hairdresser,5.0,2,Vadodara,0
Bless Spa and Salon,Spa,4.4,14,Vadodara,0
Scissors unisex salon,Hair Salon,3.4,5,Vadodara,0
Smart Look Gents Saloon,Hair Salon,3.0,2,Vadodara,0
Eden Spa and Salon,Spa,0.0,0,Vadodara,0
LIGHT HAIR SALOON,Hair Salon,0.0,0,Vadodara,0
U Cut\'s Unisex Salon,Hair Salon,0.0,0,Vadodara,0
GoMechanic - Baroda Auto Service Station,Auto Repair Shop,3.8,14,Vadodara,1
Akash Car Air Condition,Car Repair And Maintenance Service,4.6,52,Vadodara,0
GoMechanic - National Motors Garage,Auto Repair Shop,5.0,2,Vadodara,1
"A P MOTORS - Car AC Service & Repair, Battery Dealer, Vadodara",Auto Repair Shop,4.8,681,Vadodara,1
Medkart Pharmacy - Vallabh Chowk - Vadodara,Pharmacy,4.9,247,Vadodara,1
Rupali Medical & Provision Store,Pharmacy,4.9,86,Vadodara,0
Apollo Pharmacy Manisha Cross Road,Pharmacy,3.2,46,Vadodara,1
PHARMA WORLD || Chemist Store In Vadodara/Medical Store In Vadodara,Pharmacy,4.9,43,Vadodara,0
PATEL PHARMACY,Pharmacy,4.5,55,Vadodara,0
Medkart Pharmacy - Opp HDFC Bank Vasna - Vadodara,Pharmacy,4.8,220,Vadodara,1
Shubhechchha Pharmacy,Pharmacy,4.5,11,Vadodara,0
Sipmax Pharma,Pharmacy,4.6,10,Vadodara,1
Alkapuri Medicals,Pharmacy,4.3,29,Vadodara,0
Malani Pharmacy,Pharmacy,4.6,114,Vadodara,0
"Medkart Pharmacy - Radha Krishna Chowk, Akota - Vadodara",Pharmacy,4.9,344,Vadodara,1
"Medkart Pharmacy - High Tension Road, Subhanpura - Vadodara",Pharmacy,4.9,547,Vadodara,1
WellCure Pharmacy,Pharmacy,5.0,5,Vadodara,0
Shreeji Medical Stores,Pharmacy,3.8,12,Vadodara,0
"Medkart Pharmacy - Diwalipura, Vasna - Vadodara",Pharmacy,4.7,247,Vadodara,1
Apollo Pharmacy Akota,Pharmacy,3.9,27,Vadodara,1
"Medkart Pharmacy - BPC Road, Akota - Vadodara",Pharmacy,4.9,64,Vadodara,1
OM AAKASHDEEP CHEMIST 24 HRS,Pharmacy,3.3,24,Vadodara,0
Medkart Pharmacy - Sun Pharma Road - Vadodara,Pharmacy,4.9,74,Vadodara,1
Bansal Medicines,Pharmacy,4.5,11,Vadodara,0
New National Motor Garage,Auto Repair Shop,4.8,4,Vadodara,0
Khushboo Motor Garage,Car Repair And Maintenance Service,3.0,16,Vadodara,0
Valaji Medico,Pharmacy,3.9,8,Vadodara,0
BARODA MEDICAL AND PROVISION STORE,Pharmacy,3.9,16,Vadodara,0
Juvenas Bakery,Bakery,4.6,955,Vadodara,1
Dessertopia,Bakery,4.9,212,Vadodara,1
Le Fou Delights Central Kitchen,Bakery,4.8,103,Vadodara,1
Velvet Bakers,Bakery,4.2,853,Vadodara,0
Bake Me Happy,Bakery,5.0,87,Vadodara,0
The Cookie Co.,Bakery,4.5,226,Vadodara,1
