Name,Category,Rating,Reviews,Location_Area
Sandy Brothers Saloon,Hair Salon,5.0,49,Patna
Adi's Carryout Food Corner,Restaurant,5.0,48,Jaipur
Shanmuka Pharmacy,Pharmacy,5.0,47,Hyderabad
Moh Pharmacy:Online Pharamcy:Home Delivery,Pharmacy,5.0,47,Lucknow
BodyLab Gym,Gym,5.0,46,Jaipur
Van Heusen Company Outlet,Clothing Store,5.0,46,Patna
Red Wine Luxury Spa,Spa,4.9,49,Chandigarh
D C S Original,Men'S Clothing Store,4.9,49,Delhi
Cream N Crumbs By Dakshata Jain,Bakery,5.0,45,Ahmedabad
LIFE CURE PHARMACY,Pharmacy,5.0,45,Ahmedabad
